"V1","V2","V3","V4","V5","V6","V7","V8"
0,0.0656024748265277,0,0,0,0,0,0.0786316342861652
0,0.0656024748265277,0,0,0,0,0,0.0786316342861652
0,0,0.129619671258574,0,0,0,0,0
0,0,0.129619671258574,0,0,0,0,0
0,0,0.035155525467371,0,0.0493163377431886,0,0,0
0,0,0.035155525467371,0,0.0493163377431886,0,0,0
0,0,0.0892386166477623,0,0,0.0627884253048541,0,0
0,0,0.0892386166477623,0,0,0.0627884253048541,0,0
0,0,0.0919852854290407,0,0,0,0.0633562640626585,0
0,0,0.0919852854290407,0,0,0,0.0633562640626585,0
0,0,0.081846626961034,0,0,0,0,0.0691714880892213
0,0,0.081846626961034,0,0,0,0,0.0691714880892213
0,0,0,0.10514667894243,0,0,0,0
0,0,0,0.10514667894243,0,0,0,0
0,0,0,0.0021969699303955,0,0.139451398863505,0,0
0,0,0,0.0021969699303955,0,0.139451398863505,0,0
0,0,0,0.0510107183914298,0,0,0.0457093931036905,0
0,0,0,0.0510107183914298,0,0,0.0457093931036905,0
0,0,0,0.036712597549543,0,0,0,0.106180576674778
0,0,0,0.036712597549543,0,0,0,0.106180576674778
0,0,0,0,0.0444401942891999,0.0970463298142491,0,0
0,0,0,0,0.0444401942891999,0.0970463298142491,0,0
0,0,0,0,0.0515125476052566,0,0.0974746088290394,0
0,0,0,0,0.0515125476052566,0,0.0974746088290394,0
0,0,0,0,0.0474986706627556,0,0,0.0851284882628516
0,0,0,0,0.0474986706627556,0,0,0.0851284882628516
0,0,0,0,0,0.157464864554815,0,0
0,0,0,0,0,0.157464864554815,0,0
0,0,0,0,0,0.168482621082305,0,0
0,0,0,0,0,0.168482621082305,0,0
0,0,0,0,0,0,0.0598612597766509,0.0807318203634371
0,0,0,0,0,0,0.0598612597766509,0.0807318203634371
0.0382358832450742,0.0192761815422558,0.0971092240029159,0,0,0,0,0
0.0382358832450742,0.0192761815422558,0.0971092240029159,0,0,0,0,0
0.0206539508668877,0.168414064279514,0,0,0,0,0,0
0.0206539508668877,0.168414064279514,0,0,0,0,0,0
0.0419381779535979,0.226417743452606,0,0,0,0,0,0
0.0419381779535979,0.226417743452606,0,0,0,0,0,0
0,0.0487239680604509,0,0,0,0.0938429993282383,0,0
0,0.0487239680604509,0,0,0,0.0938429993282383,0,0
0.0502115045363426,0.105220764198521,0,0,0,0,0,0
0.0502115045363426,0.105220764198521,0,0,0,0,0,0
0.0120572451445656,0.0764957782725453,0,0,0,0,0,0.0554529081254963
0.0120572451445656,0.0764957782725453,0,0,0,0,0,0.0554529081254963
0.0418630991944326,0,0.112065943969858,0,0,0,0,0
0.0418630991944326,0,0.112065943969858,0,0,0,0,0
0.0534761460330601,0,0.0545346943819951,0,0.0347586135485874,0,0,0
0.0534761460330601,0,0.0545346943819951,0,0.0347586135485874,0,0,0
0.0103275795831247,0,0.0911413143612799,0,0,0.0478652939068316,0,0
0.0103275795831247,0,0.0911413143612799,0,0,0.0478652939068316,0,0
