"rep","method","frac","richness.r2","feasible.and.stable.balanced_accuracy","composition.balanced_accuracy","abundance.r2","num_species","num_replicates_in_data","num_cases"
5,"e2e + reshuffle",3.79269019073225e-05,0.49757673405018,0.5,0.633487391718251,0.0922152558394263,9,3,1536
1,"e2e",3.79269019073225e-05,0.500057195245666,0.5,0.482096007644104,0.0661435375790128,9,3,1536
2,"e2e",3.79269019073225e-05,0.497563906234648,0.5,0.504171240006096,0.00915829195365092,9,3,1536
3,"e2e",3.79269019073225e-05,0.498783286385316,0.5,0.675704547939983,0.152755122555241,9,3,1536
4,"e2e",3.79269019073225e-05,0.500057195245666,0.5,0.58249985535422,0.0670254606420348,9,3,1536
5,"e2e",3.79269019073225e-05,0.49757673405018,0.5,0.401308587802761,0.0133326746942504,9,3,1536
1,"naive",7.84759970351462e-05,0.432894748556402,0.247718383311604,0.874187608318891,0.195541199215963,9,3,1536
2,"naive",7.84759970351462e-05,0.432661394633799,0.250977835723598,0.874079289428076,0.195346218083144,9,3,1536
3,"naive",7.84759970351462e-05,0.432666179048879,0.249348109517601,0.874119813671325,0.195403672322559,9,3,1536
4,"naive",7.84759970351462e-05,0.432666179048879,0.752281616688396,0.874119813671325,0.195435622319162,9,3,1536
5,"naive",7.84759970351462e-05,0.432894748556402,0.248696219035202,0.874187608318891,0.195514264553126,9,3,1536
1,"e2e + reshuffle",7.84759970351462e-05,0.49757673405018,0.5,0.633487391718251,0.0720398651851707,9,3,1536
2,"e2e + reshuffle",7.84759970351462e-05,0.497578097677045,0.5,0.43998196238375,0.0110360684247352,9,3,1536
3,"e2e + reshuffle",7.84759970351462e-05,0.497578097677045,0.5,0.578246544054549,0.0933863092525351,9,3,1536
4,"e2e + reshuffle",7.84759970351462e-05,0.497578097677045,0.5,0.560126864520359,0.0785165327367661,9,3,1536
5,"e2e + reshuffle",7.84759970351462e-05,0.497578097677045,0.5,0.54119098320535,0.00244312194409357,9,3,1536
1,"e2e",7.84759970351462e-05,0.497578097677045,0.5,0.560126864520359,0.0883708722347995,9,3,1536
2,"e2e",7.84759970351462e-05,0.497578097677045,0.5,0.560126864520359,0.0659766420476279,9,3,1536
3,"e2e",7.84759970351462e-05,0.49757673405018,0.5,0.619608911878014,0.0674656328119031,9,3,1536
4,"e2e",7.84759970351462e-05,0.497578097677045,0.5,0.54119098320535,0.0016298715447076,9,3,1536
