"rep","method","frac","richness.r2","feasible.and.stable.balanced_accuracy","composition.balanced_accuracy","abundance.r2"
3,"naive",0.9,0.360254852271704,NA,0.874599786552828,0.198749769678268
4,"naive",0.9,0.356344950744006,NA,0.871978021978022,0.196579479326512
5,"naive",0.9,0.362051376745544,NA,0.868306010928962,0.189244088717452
1,"e2e + reshuffle",0.9,0.0344810164389691,NA,0.597628588415563,0.203316141158547
2,"e2e + reshuffle",0.9,0.00354125453183699,NA,0.551341342830812,0.154391302259166
3,"e2e + reshuffle",0.9,0.000498449776624157,0.5,0.592047930283224,0.224198814543427
4,"e2e + reshuffle",0.9,0.0155220015333039,NA,0.604520373514431,0.179237613974668
5,"e2e + reshuffle",0.9,0.000821985164335975,NA,0.556073471534712,0.199954483565516
1,"e2e",0.9,0.623358442666457,0.5,0.926605127964531,0.902753865556747
2,"e2e",0.9,0.595129309732887,NA,0.934374155840967,0.893617087022947
3,"e2e",0.9,0.466565468551115,0.5,0.936699862885184,0.89342961893515
4,"e2e",0.9,0.60432633542443,NA,0.935729847494553,0.897978497653346
5,"e2e",0.9,0.531555298518303,NA,0.930977595040095,0.88027476349317
