"rep","method","frac","richness.r2","feasible.and.stable.balanced_accuracy","composition.balanced_accuracy","abundance.r2"
5,"naive",0.9,0.545585341493485,0.5,0.86340206185567,0.00121689794144598
1,"e2e + reshuffle",0.9,0.0032543822848257,0.533914272256241,0.538794986485382,5.35445121245823e-05
2,"e2e + reshuffle",0.9,0.000262455855058656,0.508928571428571,0.541049184995373,0.000234613875477736
3,"e2e + reshuffle",0.9,0.00647467702976192,0.523205221174764,0.51628392053199,0.000779802259035617
4,"e2e + reshuffle",0.9,0.00782311355797973,0.470940170940171,0.541354628155202,0.00016825423280054
5,"e2e + reshuffle",0.9,0.000260748776018182,0.426315789473684,0.530414979757085,0.000287030485401805
1,"e2e",0.9,0.617928329034715,0.971502590673575,0.918895231745767,0.00490753436703537
2,"e2e",0.9,0.620939081087979,0.940596053161498,0.932497962202633,0.000930443332953331
3,"e2e",0.9,0.626955354892328,0.987244897959184,0.931229394992426,0.0060993455129244
4,"e2e",0.9,0.662759001389777,0.940601503759398,0.934735995711605,0.00682289250927767
5,"e2e",0.9,0.562641021096276,0.90826686004351,0.928747747639471,0.00440905068719029
