"a","b","c","d","e","f","g","h","richness","a.star","b.star","c.star","d.star","e.star","f.star","g.star","h.star","feasible.and.stable","state_idx"
0,0,0,1,0,1,0,1,1,0,0,0,0,0,0.14119,0,0,NA,168
0,0,0,1,0,1,0,1,2,0,0,0,0,0,0.140489256198347,0,0.00117074380165289,NA,168
0,0,0,1,0,0,1,1,2,0,0,0,0,0,0,0.109967647058824,0.0146623529411765,NA,200
0,0,0,1,0,0,1,1,2,0,0,0,0,0,0,0.108801,0.023079,NA,200
0,0,0,0,1,1,1,0,3,0,0,0,0,0.0410588372093023,0.0600090697674419,0.0347420930232558,0,NA,112
0,0,0,0,1,1,1,0,2,0,0,0,0,0.0339061333333333,0.0999338666666667,0,0,NA,112
0,0,0,0,1,1,0,1,2,0,0,0,0,0.0319186486486486,0.107021351351351,0,0,NA,176
0,0,0,0,1,1,0,1,3,0,0,0,0,0.0518279104477612,0.0729429850746269,0,0.00383910447761194,NA,176
0,0,0,0,1,0,1,1,3,0,0,0,0,0.0567535294117647,0,0.0794549411764706,0.00162152941176471,NA,208
0,0,0,0,1,0,1,1,2,0,0,0,0,0.0538621176470588,0,0.109647882352941,0,NA,208
0,0,0,0,0,1,1,1,3,0,0,0,0,0,0.110982666666667,0.00158546666666667,0.00634186666666667,NA,224
0,0,0,0,0,1,1,1,3,0,0,0,0,0,0.0941908333333333,0.0196816666666667,0.0042175,NA,224
1,1,1,1,1,1,1,1,5,0.0165235135135,0,0.0587502702703,0,0.0183594594595,0.034882972973,0.00734378378378,0,NA,255
1,1,1,1,1,1,1,1,4,0,0,0.0739262295082,0,0.00509836065574,0.020393442623,0.0560819672131,0,NA,255
0,1,1,1,1,1,1,1,4,0,0,0.0897026666667,0,0.00183066666667,0.038444,0.00732266666667,0,NA,254
0,1,1,1,1,1,1,1,2,0,0,0.0804111235955,0,0,0,0.0546188764045,0,NA,254
1,0,1,1,1,1,1,1,5,0.00524785714286,0,0.061225,0,0.0332364285714,0.0139942857143,0.0332364285714,0,NA,253
1,0,1,1,1,1,1,1,3,0,0,0.0656353125,0,0.0024309375,0,0.08751375,0,NA,253
1,1,0,1,1,1,1,1,3,0.0105476923077,0,0,0,0.0281271794872,0.0984451282051,0,0,NA,251
1,1,0,1,1,1,1,1,3,0.0114602298851,0,0,0,0.0343806896552,0.0787890804598,0,0,NA,251
1,1,1,0,1,1,1,1,2,0,0,0.0817485714286,0,0,0,0.0675314285714,0,NA,247
1,1,1,0,1,1,1,1,2,0,0,0.100977407407,0,0,0,0.0376525925926,0,NA,247
1,1,1,1,0,1,1,1,3,0.00175901098901,0,0.116094725275,0,0,0,0.0422162637363,0,NA,239
1,1,1,1,0,1,1,1,2,0,0,0.0745637837838,0,0,0,0.0787062162162,0,NA,239
1,1,1,1,1,0,1,1,2,0,0,0.0747138461538,0,0,0,0.0871661538462,0,NA,223
1,1,1,1,1,0,1,1,3,0,0,0.0859171764706,0,0.00204564705882,0,0.0859171764706,0,NA,223
1,1,1,1,1,1,0,1,2,0.0587530188679,0,0.105136981132,0,0,0,0,0,NA,191
1,1,1,1,1,1,0,1,0,0,0,0,0,0,0,0,0,NA,191
1,1,1,1,1,1,1,0,2,0,0,0.0777705882353,0,0,0,0.0985094117647,0,NA,127
1,1,1,1,1,1,1,0,5,0.0309266666667,0,0.0618533333333,0,0.0154633333333,0.0251279166667,0.00579875,0,NA,127
