"a","b","c","d","e","f","g","h","i","j","stable","feasible","richness","a.star","b.star","c.star","d.star","e.star","f.star","g.star","h.star","i.star","j.star"
1,0,0,0,1,1,0,0,0,0,FALSE,FALSE,2,-0.267654577073981,0,0,0,0.836179820225187,2.16813027783458,0,0,0,0
0,1,0,0,1,1,0,0,0,0,FALSE,FALSE,2,0,-0.431445829698105,0,0,0.836954610246102,2.22578738333286,0,0,0,0
1,1,0,0,1,1,0,0,0,0,FALSE,FALSE,2,-0.337630805464109,-0.452280548639585,0,0,0.971546105673146,2.39665755058389,0,0,0,0
0,0,1,0,1,1,0,0,0,0,FALSE,FALSE,2,0,0,-0.273687487370135,0,0.834874575358277,2.13186978488427,0,0,0,0
1,0,1,0,1,1,0,0,0,0,FALSE,FALSE,2,-0.265883546863109,0,-0.136594374040944,0,0.886122003778624,2.21323496255139,0,0,0,0
0,1,1,0,1,1,0,0,0,0,FALSE,FALSE,2,0,-0.432804919801857,-0.0178234632425427,0,0.843886057932691,2.23236954906472,0,0,0,0
1,1,1,0,1,1,0,0,0,0,FALSE,FALSE,3,-0.337820221864169,-0.440042967815065,0.160640124632814,0,0.909149544996242,2.33742936721011,0,0,0,0
0,0,0,1,1,1,0,0,0,0,FALSE,FALSE,2,0,0,0,-0.486629490723735,1.15271556378107,2.06127357370426,0,0,0,0
1,0,0,1,1,1,0,0,0,0,FALSE,FALSE,2,-0.676080180480042,0,0,-0.863741631030551,1.73712766480056,2.40208833957527,0,0,0,0
0,1,0,1,1,1,0,0,0,0,FALSE,FALSE,2,0,-0.429571680843881,0,-0.0355569843906632,0.867140130803556,2.22654889898682,0,0,0,0
1,1,0,1,1,1,0,0,0,0,FALSE,FALSE,2,-0.469199593295559,-0.445618879561044,0,-0.280422391271387,1.26205404900882,2.46924839114802,0,0,0,0
0,0,1,1,1,1,0,0,0,0,FALSE,FALSE,2,0,0,-0.233725869638188,-0.25445293151337,1.03929607206145,2.12965694894411,0,0,0,0
1,0,1,1,1,1,0,0,0,0,FALSE,FALSE,3,-0.983855912165934,0,0.469451272531792,-1.5017558802801,2.2309821193544,2.41988756367612,0,0,0,0
0,1,1,1,1,1,0,0,0,0,FALSE,FALSE,2,0,-0.431707508422177,-0.0156876523963653,-0.0177305919832442,0.858107548915267,2.23196053078114,0,0,0,0
1,1,1,1,1,1,0,0,0,0,FALSE,FALSE,3,-0.888852225438947,-0.379225130924985,0.593082122982816,-1.17336889067441,1.9567482519328,2.48172874788504,0,0,0,0
0,0,0,0,0,0,1,0,0,0,TRUE,TRUE,1,0,0,0,0,0,0,2.0583537380086,0,0,0
1,0,0,0,0,0,1,0,0,0,TRUE,TRUE,2,1.21664835039671,0,0,0,0,0,1.44697067828509,0,0,0
0,1,0,0,0,0,1,0,0,0,TRUE,TRUE,2,0,0.741946471633534,0,0,0,0,1.61078339331227,0,0,0
1,1,0,0,0,0,1,0,0,0,TRUE,TRUE,3,1.15107690510279,0.273355214626724,0,0,0,0,1.31502299262735,0,0,0
0,0,1,0,0,0,1,0,0,0,TRUE,TRUE,2,0,0,0.414291671514539,0,0,0,1.7968697789224,0,0,0
1,0,1,0,0,0,1,0,0,0,FALSE,FALSE,2,1.4684226647449,0,-0.694610843298441,0,0,0,1.75886046840789,0,0,0
0,1,1,0,0,0,1,0,0,0,FALSE,FALSE,2,0,0.747212699599914,-0.0556576043951293,0,0,0,1.642735407782,0,0,0
1,1,1,0,0,0,1,0,0,0,FALSE,FALSE,3,1.46474237210571,0.224484043235503,-0.833017801508814,0,0,0,1.71264936195845,0,0,0
0,0,0,1,0,0,1,0,0,0,TRUE,TRUE,2,0,0,0,0.931335832520592,0,0,1.42610896603758,0,0,0
1,0,0,1,0,0,1,0,0,0,TRUE,TRUE,3,0.964325948556385,0,0,0.960032429187942,0,0,0.922040579616425,0,0,0
0,1,0,1,0,0,1,0,0,0,TRUE,TRUE,3,0,0.699776823779096,0,0.128451514473441,0,0,1.54902139254042,0,0,0
1,1,0,1,0,0,1,0,0,0,TRUE,TRUE,4,0.967552397067419,0.0527216410748723,0,0.899638615702489,0,0,0.929614366240954,0,0,0
0,0,1,1,0,0,1,0,0,0,TRUE,TRUE,3,0,0,0.20190166570227,0.72055824283031,0,0,1.44176494318427,0,0,0
1,0,1,1,0,0,1,0,0,0,FALSE,FALSE,3,1.04773258815032,0,-0.954273331968403,1.95873919204428,0,0,0.804445791986518,0,0,0
0,1,1,1,0,0,1,0,0,0,FALSE,FALSE,3,0,0.668405051314895,-0.0788176434468304,0.24672830507202,0,0,1.53739936805951,0,0,0
1,1,1,1,0,0,1,0,0,0,FALSE,FALSE,3,1.01568337040498,-0.295774994682687,-0.794686243172572,2.13053815688042,0,0,0.781621766842155,0,0,0
0,0,0,0,1,0,1,0,0,0,FALSE,FALSE,1,0,0,0,0,-0.277980508960232,0,2.20487270750624,0,0,0
1,0,0,0,1,0,1,0,0,0,FALSE,FALSE,2,1.64534853402727,0,0,0,-0.707091432292913,0,1.60423905597999,0,0,0
0,1,0,0,1,0,1,0,0,0,FALSE,FALSE,2,0,0.832013018493002,0,0,-0.172702680324022,0,1.64748057676122,0,0,0
1,1,0,0,1,0,1,0,0,0,FALSE,FALSE,3,1.47336347321629,0.457341099890011,0,0,-0.604368167526815,0,1.3606346859668,0,0,0
0,0,1,0,1,0,1,0,0,0,FALSE,FALSE,2,0,0,0.500363746226941,0,-0.280885396013869,0,1.89059469344182,0,0,0
1,0,1,0,1,0,1,0,0,0,FALSE,FALSE,2,2.0124254457226,0,-0.860943731945564,0,-0.797827736575824,0,2.01099578996923,0,0,0
0,1,1,0,1,0,1,0,0,0,FALSE,FALSE,2,0,0.837133478852004,-0.0595951117070196,0,-0.171708786211983,0,1.68148185208094,0,0,0
1,1,1,0,1,0,1,0,0,0,FALSE,FALSE,3,1.95756074265486,0.429690748344496,-1.11125072342082,0,-0.727695283796903,0,1.90037814108446,0,0,0
0,0,0,1,1,0,1,0,0,0,FALSE,FALSE,2,0,0,0,1.23291246549617,-1.02575984584134,0,1.76204245897022,0,0,0
1,0,0,1,1,0,1,0,0,0,FALSE,FALSE,3,1.82847482951325,0,0,1.46976006220109,-1.64628206625769,0,1.00948911887491,0,0,0
0,1,0,1,1,0,1,0,0,0,FALSE,FALSE,3,0,0.831630363496738,0,0.0340272359188882,-0.193389112483374,0,1.63551522709995,0,0,0
1,1,0,1,1,0,1,0,0,0,FALSE,FALSE,4,1.592619265482,0.417600008767573,0,0.837193377307096,-1.1482689201974,0,1.04302605348701,0,0,0
0,0,1,1,1,0,1,0,0,0,FALSE,FALSE,3,0,0,0.424616642343296,0.694312029292827,-0.701555983437362,0,1.6887924691233,0,0,0
1,0,1,1,1,0,1,0,0,0,FALSE,FALSE,3,3.00860400639453,0,-1.98676645715242,4.1427182366393,-3.563716367407,0,0.866512366799699,0,0,0
0,1,1,1,1,0,1,0,0,0,FALSE,FALSE,3,0,0.836898771067662,-0.0723311474627803,0.118179925859693,-0.24334238836752,0,1.64719141206236,0,0,0
1,1,1,1,1,0,1,0,0,0,FALSE,FALSE,4,2.91877899721323,0.221905063664629,-2.04653861154371,3.88700011454814,-3.35676750889663,0,0.880031808898315,0,0,0
0,0,0,0,0,1,1,0,0,0,TRUE,TRUE,2,0,0,0,0,0,2.29552576469154,0.512445007078293,0,0,0
1,0,0,0,0,1,1,0,0,0,TRUE,TRUE,3,0.223606474451977,0,0,0,0,2.12222928872693,0.516785103931704,0,0,0
0,1,0,0,0,1,1,0,0,0,FALSE,FALSE,2,0,-0.500079729680378,0,0,0,2.51268131246472,0.667869964526175,0,0,0
1,1,0,0,0,1,1,0,0,0,FALSE,FALSE,3,0.252834205513754,-0.507806639469794,0,0,0,2.32008850193091,0.675178884243573,0,0,0
0,0,1,0,0,1,1,0,0,0,FALSE,FALSE,2,0,0,-0.344929128192526,0,0,2.43783689994197,0.634311543463524,0,0,0
