"V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11"
0,0,2.92038222773731,0.0976299470095502,0,0,0.0195261309649709,0,0,0,0
0,0.443987719799011,2.71440510477576,0.0838368045315325,0,0,0.0187761918534461,0,0,0,0
0,2.36291940935045,0,0,0.173593051401731,0,0.0985282601649079,0,0,0,0
4.3506250844015,6.59612768444302,0,0,0,0,0,0,0,0,0
0,0,2.88173640654612,0,0.268283242918758,0,0.0286686772465909,0,0,0,0
0,0.273034948075462,2.76187176604726,0,0.239565266974973,0,0.0275928594033338,0,0,0,0
0,0,0,0.457338656028589,0.891502492928283,0,0.0134072446983277,0,0,0,0
0.65227073920643,0,0,0.431787666174024,0.915281198622903,0,0.00958696095289824,0,0,0,0
0,2.29453034559237,0,0.260782226920949,0.401598283371288,0,0.0208497247055393,0,0,0,0
0,0.465019813880377,2.47250686734201,0.102861669016361,0.322586543179198,0,0.00438571117369152,0,0,0,0
0,0,0,0,0,0.991388398496475,0.192970266165203,0,0,0,0
0,2.61238720288926,0,0,0,1.24465212351885,0.0944817205771922,0,0,0,0
4.72615669222451,7.12429732299976,0,0,0,1.83545476772816,0,0,0,0,0
0,0,3.51173292745936,0,0,1.22376699944836,0.00834249534614065,0,0,0,0
0,0,0,0.529265688286697,0,1.37242605498646,0.0444816287614502,0,0,0,0
2.98507785796255,5.43986137561349,0,0,0,1.56340011984578,0,0,0,0,0
0,0,3.43675241685087,0.0655054103936916,0,1.26042481412952,0,0,0,0,0
0,2.43176566201484,0,0,0.360882330901655,1.25354229980159,0.0771018806565102,0,0,0,0
0,0,3.2410883322265,0,0.432792437865205,1.23720312675484,0,0,0,0,0
0,0,3.25469222588293,0,0.435953408085114,1.23565148759266,0,0,0,0,0
0.708037031168276,0,0,0.462985906904039,1.17194376613342,1.44204872248558,0,0,0,0,0
0,2.36669685659048,0,0.288030593099777,0.641182935444492,1.44410621324784,0,0,0,0,0
0,0,3.06357008595355,0.0974592162873125,0.538273308929567,1.29501744730886,0,0,0,0,0
0,0,0,0,0,0,0,0.373019062852407,0,0,0
0,0,3.05263062706855,0,0,0,0,0.0769028996728929,0,0,0
1.83576770414457,0,0,0.387991924379181,0,0,0,0.119456162691796,0,0,0
0,2.49188778093177,0,0.233107327762258,0,0,0,0.0996408065129755,0,0,0
0,0,2.93849639014651,0.0842574999699217,0,0,0,0.0453251653981787,0,0,0
0,0.420796636335717,2.74263505705396,0.071659609300552,0,0,0,0.0444618711687918,0,0,0
0,0,0,0,1.07731986777746,0,0,0.286465076302581,0,0,0
3.01100674917706,5.33820976114969,0,0,0,0,0,0,0,0,0
0.818987262493041,0,0,0.419879890570554,0.914922201993797,0,0,0.0614737297573667,0,0,0
0,2.25824741633503,0,0.251526370472668,0.470356519633946,0,0,0.0670970963027579,0,0,0
0,0.459133053244332,2.47968380624276,0.0997702328415366,0.322569950188043,0,0,0.0274337356814556,0,0,0
0,0,0,0,0,1.25259958038893,0,0.347853343291087,0,0,0
1.72933962264527,0,0,0,0,1.31193430474026,0,0.292805197848453,0,0,0
0,0,3.51406630786911,0,0,1.22998677647884,0,0.00743056664436181,0,0,0
