"Bar.action.outcome","undLac.action.outcome","uncLac.action.outcome","Oth.action.outcome","Bla.action.outcome","undMol.action.outcome","Akk.action.outcome","Cop.action.outcome","Clodif.action.outcome","Ent.action.outcome","undEnt.action.outcome"
1.54484672503023,0,0,0.0780958259743631,0.0506610676398668,0,0.850100813615313,0.0489770258584503,0,0,0.0509640578869626
0,2.24643899087777,0,0.12081847755401,0.0681122050630354,0,0.81537171502469,0.0390052910101532,0,0,0.0454633901488549
0,0.0209344283433842,2.1288870023856,0.0747879629371768,0.093346663166526,0,0.73972735700328,0.0300290276703542,0,0,0.11057358679354
0,0.115500720025348,2.16718046301632,0.0896312421490517,0.0904671147041024,0,0.731195996633044,0.0269438179730439,0,0,0.103103956621578
0,2.20523264029951,0,0.504539152360303,0.0717426723410677,0,0.700226758828918,0.0516596812119173,0,0,0.096059599139992
0.885673288989868,0,0,0.0807057039845109,0.885359354559722,0,0.821616229484237,0.0473505052417681,0,0,0.0454945187063093
0,0,0,0.850855852294939,0.827260328956482,0,0.722842691879266,0.0422675447592482,0,0,0.131713796963983
0,0,0,1.07697869332898,0.000825578200241467,1.30388514830555,0.676888639443819,0.0322063093032516,0,0,0.0919839715119846
0,0,0,0.093015682020785,1.2964483985727,0.997603463518308,0.746793291302793,0.0520929760083955,0,0,0.077328899833001
1.43594436397266,0,0,0.119751767216383,0.0720308732972345,0,0.0536819093529236,0.848809557736007,0,0,0.169559706985847
1.70672893249137,0,0,0.627464698241536,0.0587021471803386,0,0.0430317211349275,0.689818982943983,0,0,0.190028753223841
0,2.0298192293328,0,0.514876651763698,0.106579703090109,0,0.0463163853694118,0.698167471180849,0,0,0.114559282891819
0,0,0,0.107134208138794,0.920077373441163,0,0.0290562160408709,1.02745842644207,0,0,0.107749412387224
0.872489250192674,0,0,0.107545163845823,0.923570158351932,0,0.0362131192876865,0.947345501256571,0,0,0.110072192874531
0,1.69296460849743,0,0.142836671728203,0.631661548674113,0,0.0227626562169306,0.805689985007397,0,0,0.0654140670192577
0,0,0,0.86764713866493,0.848828373054067,0,0.0382091505364578,0.831246979410225,0,0,0.129863269194922
0,0,0,0.105388349837621,0.0385474308246475,1.01973013882036,0.0462639430950004,0.82370178431766,0,0,0.184720341814884
0,1.82219829158342,0,0.135992454067945,0.0792954882302413,1.12016687638807,0.0385681281055767,0.686243021874002,0,0,0.125711596828707
1.47684303743317,0,0,0.0887799578565154,0.0399982663227779,0,0.571823930322804,0.614259374133108,0,0,0.110293920683056
0.145776307332362,0.0537745823202628,0.26554361997362,0.0937594244595943,0.0889580879904736,0,0.196736849569872,0.103124600306169,0,0,0.0497259107876096
0.614090156384364,0.024962369006378,0.25524548320005,0.0834328840277617,0.0831553414286848,0,0.201549517640137,0.0927953376763922,1.21840058507875,0,0.0457973789653863
0.104187041200463,0.0348719956699921,0.706439577359098,0.0959807740692706,0.109770084104314,0,0.132374243602878,0.0919715956274351,0,0,0.0245684288066373
0.639021576067769,0.00678530654726388,0.532296338560138,0.0852613181676192,0.103379746829618,0,0.138674146260867,0.0828858383882599,1.19360622164113,0,0.0216437300842853
0.083667890844576,0.962728461577356,0.510940697455398,0.088507240464093,0.105744434565821,0,0.117462061241863,0.085134056283551,1.81570357189321,0,0.0217124338630803
0.0364556547126847,0,0.545333947062362,0.470172389860791,0.175145135088577,0,0.0750344945926771,0.134269317636598,0.796487984821466,0,0.0235485783600694
0.0717620063430598,0,0.746717664666447,0.128742089091148,0.261524389945833,0,0.107116276173473,0.0787471992701573,0.480385679998916,0,0.0151009618329415
0.0442207486688078,0,0.190633490139516,0.586313306797625,0.290049535071637,0,0.0903942560316965,0.132660608811892,0,0,0.0325021853044993
0.151697274243726,0.0667219378431035,0.10548036797226,0.0872110043833999,0.0991865017827752,1.12310931309475,0.109687529686403,0.0792905905756959,0.65501264250461,0,0.118592556917784
0.106740369808557,0.07567725414528,0.110551617479095,0.0892631156977849,0.0982292767542298,1.16050684203394,0.0996135481124283,0.0803651632123107,1.24925444420609,0,0.115942428032891
0.100819920924619,0.057704897041733,0.305256332068631,0.0923684435570887,0.112090889105733,1.26667764033941,0.0862725194564464,0.0833784029112448,1.4185579899845,0,0.0940018212541194
0.0827272092281884,0.0352297811722447,0.0612872585781173,0.358831854104311,0.131893980724382,1.29958252284439,0.0763942844591295,0.100918602648573,3.72722058205902,0,0.0819503086194995
0.10259003714388,0.053282953421896,0.0913226094310109,0.117023625551106,0.233229579917193,1.31207523506928,0.0954511834432173,0.0741051069600122,2.99351855338405,0,0.10572651689765
0.107495024517089,0.00656580401610548,0.11760094821082,0.0453721914570341,0.0363545885932379,0,0.700314845433839,0.0998708824846025,0,0,0.0428975342900752
0.574085266798502,0.00629068181703971,0.118868002105582,0.0394182510332984,0.0348472956005241,0,0.647955969655559,0.0975387958425497,2.03550229597261,0,0.0380577613176611
0.0738184411403033,0.0112453149821287,0.401114444294749,0.0489286759798583,0.057301334859295,0,0.592468946807629,0.0863070281712393,0.690960801403581,0,0.0392719410184062
0.0978737100317453,0.0500988320849358,0.0589147364486738,0.0588402580637619,0.0524298113595441,1.46281902140564,0.489717186821336,0.0820276002043538,3.6871342963747,0,0.0869471151273652
0.021376298974328,0,0.537079604733916,0.128952770808981,0.0626920041995891,0,0.135991561758949,0.55979145874758,0.802653497804731,0,0.0329401724367871
0.00161190027180537,0,0.165567403183408,0.508707423939423,0.110444747609572,0,0.112460311301005,0.568720231420085,0.343191479849243,0,0.039364627334437
0.0556667261269341,0.0237000321061078,0.0952567124928867,0.116859961232829,0.065250363043887,1.43972335898498,0.11808285463936,0.452897532993296,3.99936397822083,0,0.10221448380167
0,0,0.103161957048482,0.0741227285980973,0.0185861413243243,0,0.585475947289636,0.54659838494199,0.286984548714653,0,0.0368480147196527
1.05548659805273,0,0,0.111179754114692,0.182314820427336,0,0.0555291995127244,0.0875761726272799,0,1.2640474925766,0.0419436147595168
0,0.0672426288346052,2.2574444564966,0.0962550797416595,0.24009976634548,0,0.0881354501854103,0.0723220171797863,0,1.15264846031201,0.063142964599554
0,0,0,0.98312679943174,0.0822821278065323,0,0.057448384582873,0.0771521858971017,0,1.19132008485587,0.130356073242163
1.29219760146494,0,0,0.703423740820502,0.0852491039439808,0,0.0407281220520101,0.0764673460143617,0,1.31402832541235,0.130635527941537
0,1.84524715521806,0,0.601020890600202,0.121046011086043,0,0.0755138603923169,0.0941950751962071,0,1.59449263370966,0.0713593352205428
0.88495326644853,0,0,0.093549182531842,0.461299744348828,0,0.0570366692284901,0.0774507421519743,0,1.49182297865617,0.0234695287571311
0,0.0855868989917616,2.49001820659209,0.0813472063222732,0.330539741908173,0,0.0839002098199973,0.0672087303196546,0,0.917589331128798,0.0535273305975633
0.932527302276181,0,0,0.113104806399641,0.0693765387741726,0.998844419405378,0.0539944524806235,0.0932873038253399,0,1.00651036660248,0.0968921791410017
0,0,0,1.03118979915385,0.00203753089907805,1.18890862490603,0.0666419073179554,0.0571798355812058,0,0.812141079124949,0.0825573076751155
0,0,0,0.0616213841120796,0.156981433195715,0,0.974361311005847,0.0370222490752659,0,1.35701996856458,0.0388682641277199
0,0,0,0.0621178348747493,0.389120006532664,0,0.944058176431842,0.0349243473918132,0,1.57468192875206,0.0342847007377287
0,0,0,0.104580200645834,0.0717817515516627,0,0.0405932636204968,0.846870368982366,0,1.28249420857536,0.127881520463225
0,0,3.01151653177723,0.0958015401280361,0.111946726711834,0,0.060673588131844,0.627461334503408,0,1.18153446238159,0.117737728113144
0.195582430207668,0.114848474289583,0.13949358980364,0.0377177123794923,0.0463532583929233,0,0.157572819757625,0.118512930351861,1.39328508970917,1.52096388293115,0.021101424663678
0.159190514234005,0.211562267451344,0.10578283295242,0.0366974800577947,0.0433496092110687,0,0.144596220275205,0.114309238396155,2.25682951806898,1.581992434405,0.0211667247407961
0.132654078774887,0.112201573674835,0.373768218185094,0.0498498894720714,0.0724530518952377,0,0.105807433794835,0.112510598436086,2.06564126542831,1.65250047893539,0.00916978729684191
0.132177072849089,0.128122473084165,0.0692179604173932,0.0585481571841315,0.0710258838101327,1.91683632044271,0.0967363088337025,0.102051071770264,7.89350408768377,1.57829084436459,0.0888936967583624
0.133838165502565,0.0771943409746267,0.0754822693025049,0.0148493841380826,0.0589063932456594,0,0.527915854558554,0.0945834069865196,3.42974016729236,1.64784511912537,0.0199102229353583
