"Bar.action.outcome","undLac.action.outcome","uncLac.action.outcome","Oth.action.outcome","Bla.action.outcome","undMol.action.outcome","Akk.action.outcome","Cop.action.outcome","Clodif.action.outcome","Ent.action.outcome","undEnt.action.outcome"
0,0,0,1.10149142308614,0,0,0.974637189290024,0.132667496482093,0,0,0.107533895727433
0,0,0,1.09884178299334,0,0,0.960713847330333,0,0,0,0.112129934656645
0,0.889638985651973,0,0.983031984367336,0,0,0.935889004281056,0,0,0,0.121456806561048
0,3.21521864845694,0,0.803886724657122,0,0,0.885213936342346,0,0,0,0.127003003105534
0,0.491775191915476,1.31548266991235,0.875141784017608,0,0,0.9110611039314,0.0651950994841436,0,0,0.195177133178669
0.128573894385306,0,0,0.0187777362544204,0.621160009101925,0,1.02001626251425,0.0697375964084893,0,0,0.0913871334321659
0.641449956379277,0.0537264951127106,0,0.0164194073213469,0.646206384238793,0.0107304909546789,1.02843982712326,0.0551424866652681,0,0.0226204142125607,0
0.00757143888522342,1.84470669010475,0,0.0219412444744944,0.65036610727826,0,0.921171621803001,0.0686508027362054,0,0,0.103093717679902
0.0406637342598356,0.173175910096671,1.27657686194264,0.0960591501039891,0.826085648157582,0,0.873386499293499,0.100816531577935,0,0,0.172097846205141
0,0.489177197891799,1.24881948473051,0.0963545811782996,0.772250200253648,0,0.870302839177846,0.0956069709910044,0,0,0.167135157173514
0,0,0,1.04340623989529,0.151612160756916,0,0.875450272072931,0,0,0,0.117334611629829
0,0.853803360533093,0,0.982555711439704,0,0,0.900418626473619,0,0,0,0.121066382926143
0,0.183567989132454,1.1132364952598,0.899883730533528,0.548024849102298,0,0.865081898450247,0.111797352596764,0,0,0.176209668680157
0,0.535369743571637,1.07527418317843,0.888876383938264,0,0,0.88134538498849,0,0,0,0.170990720311527
0.164713808254153,2.01867797477401,0,0.0382669176548274,0.282820889494964,1.15202337089356,0.84121937285805,0.112760554250219,0,0,0.0835211638020667
0.62673831478108,0.101995602225774,0,0.0461330433696686,0.254066890970597,0.808477665481794,0.956364305863982,0.0879641212087687,0,0.0331439329678219,0
0,0,0,1.12455269941134,0,1.01808279194005,0.941939657333441,0.111452528218566,0,0,0.210990410256123
2.50024575457061,3.36612898588158,0,0.804609386122307,0.102817662661996,1.17248187200254,0.891673261071796,0.101213932461785,0,0,0.210739029303072
0,0.213540893129514,1.56372771990278,0.882241622378534,0.088630466715385,0.979340166045236,0.865383659407757,0.187798878212429,0,0,0.275244645565114
0.716716758951399,0.0158732582974596,0,0.0339402324608602,0.61927389851833,0.883432165347371,0.992871481536836,0.0703860290039448,0,0.0203577751670337,0
0.0371152475416411,0.310615811736489,1.37638571441586,0.11815905445929,0.985109673180343,0.999503552084235,0.830600800486853,0.110125069100673,0,0,0.310573364074272
0,0,0,1.08141745383314,1.30927484768956,1.04126219309097,0.870606805014883,0.106810949961641,0,0,0.225008235299428
2.61629770411083,3.2500123877208,0,0.776073416818397,0.950097421190695,1.20131813534372,0.869801966892625,0.0883890289529019,0,0,0.195956095759137
0,0.104771691796439,1.20030878748254,0.880672260110152,0.963569540865211,1.00304601209888,0.860106763022857,0.16519224098488,0,0,0.28148047183517
0,0,0,0.0313016578810996,0.0478057123738389,0,0.0384479895122018,1.08875335766791,0,0,0.0760412810439818
1.75970260551794,0,0,0.0359350989023979,0.0410949349068979,0,0.0345161275503236,1.03476250623237,0,0,0.0788419587941215
0,1.31350511246762,0,0.0726759165331265,0.177448321662218,0,0.0351972116268722,0.951872806297,0,0,0.153456096644981
0,0.129738912235764,1.43504450564118,0.133916631762937,0.178943484083318,0,0.0772427628907742,0.84406085289495,0,0,0.200887788029813
1.43468712190455,0,0,1.05020695632663,0.116091787639204,0,0.0482050845978625,0.902576273067169,0,0,0.148596522359472
0,0.839594223833226,0,0.962616967280316,0.19746688874958,0,0.0475041018306529,0.884987206736099,0,0,0.17704931890593
1.20803770256096,1.91841777214006,0,0.830139619428164,0.178436530435579,0,0.0439952821500993,0.840518880098205,0,0,0.21375712264185
0,0.0672797778798388,1.15146118493839,0.883764528397263,0.254939948423645,0,0.0656038430667506,0.857022226209761,0,0,0.221109909556285
0.615166910405128,0,0,0.0375997671578886,1.21178804220904,0,0.0438330747988448,0.99539071568591,0,0,0.0965797158367855
0,1.10536110332188,0,0.0715541600562312,0.869990492941996,0,0.0484994804452227,0.939652679986557,0,0,0.164268772671334
0,0.433847251174985,1.19714916248686,0.146211878624027,0.710407222681451,0,0.0998714428128323,0.828948906826348,0,0,0.229819175806485
0,0,0,1.05145394567801,1.05531246979388,0,0.0415183268150011,0.866228198931016,0,0,0.160091323950921
0,0.699210295318901,0,0.967901307564526,0.747168020744853,0,0.0453719760146245,0.86078995122656,0,0,0.180765192142615
1.27596148271815,2.07054753126639,0,0.813077152242437,0.301958802009094,0,0.03086034748527,0.829564787189979,0,0,0.222811333915366
0,0.122328385835402,0.900896596998239,0.914788707214739,0.801505606204865,0,0.0662959707257971,0.838489877675606,0,0,0.212822576547689
0,0,0,0.037876480026913,0.0240906480899537,0.956667591142464,0.0311903097128028,1.07508844624952,0,0,0.150113667352647
1.57728856885955,0,0,0.043278057239313,0.030062419746265,1.00870832888934,0.0269678702158844,1.03340679364379,0,0,0.161706030100719
0,0.20417019936866,1.55282998294275,0.156377908281131,0.156262705590893,0.972008648564234,0.0803729095240724,0.796409345477615,0,0,0.255957549549631
0,0,0,1.09347094035755,0.0467506109200899,1.04045860594353,0.0418381786773447,0.903058441461911,0,0,0.226487597913229
1.43242353186873,0,0,1.05105880819807,0.0721670790858044,1.08500926120813,0.0419552150168111,0.8963332872855,0,0,0.221745353997972
0,1.05000685876889,0,0.956652226002416,0.198489420057469,1.07218174309934,0.0617990015032794,0.874632765753603,0,0,0.223186484708516
1.33106672592472,2.14331066484349,0,0.767820695923104,0.20505529154005,1.11114405429419,0.0504241582469635,0.906748834815207,0,0,0.266151905762319
0,0.189123164843948,1.34387028379407,0.869216978557698,0.224752416425908,0.994740612115791,0.0600870205903526,0.837327654953636,0,0,0.240502492525257
0,0.923110698113384,0,0.0917971226025524,0.921502579840931,1.01087323563752,0.046925246080553,0.920597584794693,0,0,0.242767554320998
0.372140192622265,0,0,1.04081929297155,1.11447495458215,1.04913533185375,0.0365713744785479,0.849425862145073,0,0,0.211883580454445
0,0.214064415803167,1.13012895071455,0.894718472570194,0.750540678671256,1.00817810301181,0.0606236258790507,0.825953330838349,0,0,0.226793682668152
0,0.280412481605253,1.15885290956996,0.890214747945302,0.750980288964562,1.00515942125675,0.0674259632043884,0.820852125658202,0,0,0.234225153000339
0.113130894946624,0,0,0.030899579707728,0.0517324608374564,0,1.02511081334703,0.914926672358283,0,0,0.0660446961516311
0.399644584783293,0,0,0.0298462159107426,0.0952998293783318,0,1.01052055825376,0.871564078588462,0,0,0.0447340168060873
0.0391580967023725,1.7711982329307,0,0.0415082823831363,0.1635517017363,0,0.925010078770403,0.863989350468037,0,0,0.0696565247225417
0,0,0,1.00709026337044,0,0,0.879948475782032,0.465109148217822,0,0,0.108171947095152
0,0.532653582553935,1.35366979227136,0.862424574106151,0,0,0.920443882314176,0.49179831496114,0,0,0.200753432277822
0.128632033874919,0,0,0.0308095329840704,1.27311472547806,0,0.831420744109044,1.06574522710551,0,0,0.0761922666624559
0.508077417332309,0,0,0.0180893267910979,0.866520741987309,0,0.807698140230866,0.971036023730675,0,0,0.0638537865699174
0.00952457077371806,1.94459637838646,0,0.0405676255257347,0.309181908925598,0,1.01869055965593,0.809704627659392,0,0,0.0888952727574599
0.0618055309561764,0.143632888151527,0.87548190643212,0.0916731056778147,1.24781580138259,0,0.84354580594278,0.972886684995461,0,0,0.146378347926723
0,0.442821485562409,1.01641219870236,0.0990261338853616,1.06414476083125,0,0.859536210932991,0.928403136368077,0,0,0.151903231533658
0,0,0,0.961649615162061,1.79677677236782,0,0.859750588755678,0.932133946963516,0,0,0.11537192494961
0,0,0,1.15428250135533,0,0,1.27076597101516,0.262866901801204,0,0,0.099575389438111
0,1.18486953500382,0,0.879016440292984,0,0,0.83506646327199,0.38205525835738,0,0,0.106704034371508
0.629779200911124,0.0517778531354253,0,0.0353708500974068,0.116077093174336,0.805830912892442,1.02304820503813,0.87551180938601,0,0,0.0803008816485097
0.139811883562506,1.99889212963227,0,0.0683898830482116,0.125230288066681,1.04762414074956,0.927518530470816,0.863100493165215,0,0,0.141062304310834
0.561248615942107,0,0,0.0410479321766213,0.155669878893812,0.602537496501257,1.13367039616732,0.891583710310435,0,0,0.0464779908434504
0.0696164347442323,0.325295012465103,1.83252161488177,0.159464798590541,0.00266910470798194,0.932898296838752,0.902017575614613,0.85158737610742,0,0,0.222516578859641
0.0720490923616542,0,0,1.09895227520535,0,1.03099075482426,0.966273605095834,0.809415304465251,0,0,0.158997651458048
0.357380696180446,0,0,0.992568801640132,0.0936442976647747,1.11046012376428,0.853451009126788,0.851673163582259,0,0,0.167555076985685
0,1.48018506999011,0,0.909816748659286,0,1.0483072007075,0.929548138602094,0.835860644380792,0,0,0.147857130228243
0.0115280844716541,0.339421867865141,1.55701908793221,0.846900262208884,0,0.959905939853217,0.928564155972585,0.812599072781508,0,0,0.228949187721631
0,0.411097058806309,1.53781759743801,0.853945123788141,0,0.961449938859996,0.929827945374114,0.806506983151085,0,0,0.222972645481733
0.642312361060888,0,0,0.0230711046298662,0.973208475720451,0.801767363990275,0.810393864356816,0.995878590691505,0,0,0.12359656641138
0.0495287799420091,0.26687360665477,0.975433174912164,0.138441832636824,1.46690244342735,1.00835069872153,0.878417942205087,1.01299076090701,0,0,0.248077704010874
0.10191681660129,0,0,0.957946520931663,2.82000842623313,1.28698981149748,0.847982983523033,1.23466194677229,0,0,0.16104178542399
