"replicate_index","method","experimental_design","num_train","num_test","abundance_mae_mean_test","composition_balanced_accuracy_mean_test","richness_mae_test","abundance_mae_mean_train","richness_mae_train","composition_balanced_accuracy_mean_train","num_losses_mean","abundance_q95_dataset","abundance_skewness_dataset","abundance_skewness_nonzero_dataset","abundance_final_skewness_mean","abundance_final_skewness_nonzero_mean"
1,"rf","high-1",10,100,0.127024861756595,0.491078643578644,1.4058218015873,0.0151899559831687,0.285271587301588,0.717171717171717,6.3,0.590653165531019,1.83483321672817,0.165033218440529,1.32007595610988,0.0145539700250245
2,"rf","high-1",10,100,0.130208461568933,0.46709126984127,1.33053167460317,0.015945533873543,0.297269999999999,0.717171717171717,6.3,0.590653165531019,1.83483321672817,0.165033218440529,1.32007595610988,0.0145539700250357
3,"rf","high-1",10,100,0.139201997942218,0.503936327561328,1.27905277777778,0.0140492081878533,0.303187301587299,0.712121212121212,6.4,0.590653165531019,1.83483321672817,0.165033218440529,1.34192159408029,0.0200920199415104
4,"rf","high-1",10,100,0.139765369730473,0.502361111111111,1.30938015079365,0.0147384080797203,0.298219444444445,0.713636363636364,6.3,0.590653165531019,1.83483321672817,0.165033218440529,1.29005578775833,-0.0941073512454943
5,"rf","high-1",10,100,0.106285663554024,0.539343253968254,1.28470994444444,0.0152952347300562,0.285939285714285,0.717171717171717,6.3,0.590653165531019,1.83483321672817,0.165033218440529,1.32842453962813,0.0353709196264359
6,"rf","high-1",10,100,0.14200581456258,0.513888888888889,1.27383872222222,0.0150941580804978,0.306800396825397,0.713636363636364,6.3,0.590653165531019,1.83483321672817,0.165033218440529,1.29005578775833,-0.0941073512455105
7,"rf","high-1",10,100,0.123562141914009,0.507259018759019,1.25488481746032,0.0150327739356406,0.297306428571429,0.712121212121212,6.4,0.590653165531019,1.83483321672817,0.165033218440529,1.32290678005363,-0.00429904654794387
8,"rf","high-1",10,100,0.122628282916204,0.510441197691198,1.22682557142857,0.0138565586982972,0.298918968253968,0.709090909090909,6.4,0.590653165531019,1.83483321672817,0.165033218440529,1.32685794456405,-0.0242942314214001
9,"rf","high-1",10,100,0.126720418596273,0.505826479076479,1.43387523809524,0.0161658539805584,0.28836222222222,0.717171717171717,6.3,0.590653165531019,1.83483321672817,0.165033218440529,1.27065829098276,-0.0926217160572717
10,"rf","high-1",10,100,0.13122575313133,0.49221626984127,1.28472826984127,0.0145807215783381,0.30744611111111,0.712121212121212,6.4,0.590653165531019,1.83483321672817,0.165033218440529,1.3143534832905,-0.0268778963363137
1,"naive","high-1",10,100,0.102191667189461,1,2.94,0.218733868709862,6.4,1,6.3,0.590653165531019,1.83483321672817,0.165033218440529,1.27764544861137,-0.074179902071032
2,"naive","high-1",10,100,0.0997839423136394,1,2.65,0.210233694431748,6.3,1,6.2,0.590653165531019,1.83483321672817,0.165033218440529,1.29461871005295,-0.0516270431492853
3,"naive","high-1",10,100,0.104801899200167,1,2.86,0.202723208842914,6.5,1,6.4,0.590653165531019,1.83483321672817,0.165033218440529,1.31435348329051,-0.0268778963363049
4,"naive","high-1",10,100,0.100630769398263,1,2.49,0.196511569673347,6.5,1,6.4,0.590653165531019,1.83483321672817,0.165033218440529,1.33657390316512,-0.0191407298524744
5,"naive","high-1",10,100,0.104651695809984,1,2.69,0.20153119148007,6.5,1,6.4,0.590653165531019,1.83483321672817,0.165033218440529,1.31435348329051,-0.0268778963362823
6,"naive","high-1",10,100,0.106741016211261,1,2.98,0.198101900349985,6.5,1,6.4,0.590653165531019,1.83483321672817,0.165033218440529,1.31435348329051,-0.0268778963362912
7,"naive","high-1",10,100,0.102337669082953,1,2.76,0.200532880449216,6.5,1,6.4,0.590653165531019,1.83483321672817,0.165033218440529,1.33657390316512,-0.0191407298524648
8,"naive","high-1",10,100,0.114111664204492,1,3.06,0.21404907403866,6.4,1,6.4,0.590653165531019,1.83483321672817,0.165033218440529,1.27937936033561,-0.103095854316791
9,"naive","high-1",10,100,0.103393445614314,1,2.85,0.215732851477491,6.4,1,6.3,0.590653165531019,1.83483321672817,0.165033218440529,1.27065829098275,-0.0926217160572896
10,"naive","high-1",10,100,0.105120511130449,1,2.9,0.20262509628287,6.6,1,6.5,0.590653165531019,1.83483321672817,0.165033218440529,1.33657390316512,-0.0191407298524597
1,"glv","high-1",10,100,0.0725023121130712,0.825958333333333,1.37,0.00306794212450292,4.7,0.919191919191919,6.4,0.590653165531019,1.83483321672817,0.165033218440529,1.33190278595695,0.013501740102462
