"replicate_index","method","experimental_design","num_train","num_test","abundance_mae_mean_test","composition_balanced_accuracy_mean_test","richness_mae_test","abundance_mae_mean_train","richness_mae_train","composition_balanced_accuracy_mean_train","num_losses_mean","abundance_q95_dataset","abundance_skewness_dataset","abundance_skewness_nonzero_dataset","abundance_final_skewness_mean","abundance_final_skewness_nonzero_mean"
4,"glv_rf","mixed",14,1792,1.69955823497474,0.737718032278088,1.9921875,0.0380804438772178,1,0.730853174603175,2.92857142857143,8.46750955152449,4.04928300086278,1.57400123349361,4.8465572523489,2.2656916450727
5,"glv_rf","mixed",14,1792,2.08963163670718,0.666441540303272,1.47098214285714,0.0632845855320829,1.42857142857143,0.681675170068027,2.28571428571429,8.46750955152449,4.04928300086278,1.57400123349361,4.53737081517772,2.09087030621299
6,"glv_rf","mixed",14,1792,5.02201696282862,0.765572182317992,0.714285714285714,1.61284677416346e-07,0,0.75,3,8.46750955152449,4.04928300086278,1.57400123349361,3.6891638133951,1.36154574248965
7,"glv_rf","mixed",14,1792,1.63414307198421,0.783907621707901,0.837611607142857,0.0158884217976283,0.642857142857143,0.766695011337868,3.5,8.46750955152449,4.04928300086278,1.57400123349361,3.5798648828462,1.053983662722
8,"glv_rf","mixed",14,1792,87530970419.296,0.696214640418551,2.21875,0.025140127661144,2,0.735501700680272,2.78571428571429,8.46750955152449,4.04928300086278,1.57400123349361,4.01170228179729,1.59919313345259
9,"glv_rf","mixed",14,1792,1.37941449383954,0.804616919393456,1.02399553571429,1.52515821087249e-07,0,0.768579931972789,2.71428571428571,8.46750955152449,4.04928300086278,1.57400123349361,3.89297068920991,1.53830934861078
10,"glv_rf","mixed",14,1792,11504469284.1154,0.654569366852886,0.95703125,0.154282455923499,0.714285714285714,0.666496598639456,3.5,8.46750955152449,4.04928300086278,1.57400123349361,3.3671942802994,1.03093551433169
1,"rf","mixed",14,1792,0.387335823079275,0.655360357364547,0.561563132440476,0.173668903811753,0.389785034013605,0.766369047619048,2.42857142857143,8.46750955152449,4.04928300086278,1.57400123349361,4.06500157491318,1.5979807144941
2,"rf","mixed",14,1792,0.449582834581054,0.626127848718631,0.642151132015306,0.213869638499462,0.320326303854875,0.74672619047619,2.85714285714286,8.46750955152449,4.04928300086278,1.57400123349361,3.82204305720667,1.27418141074374
3,"rf","mixed",14,1792,0.329966495215684,0.66025006650705,0.571327752976191,0.195352175965483,0.306138095238095,0.755102040816326,2.78571428571429,8.46750955152449,4.04928300086278,1.57400123349361,3.59839378367829,1.28175670735651
4,"rf","mixed",14,1792,0.317735131325805,0.640059412964441,0.500621285076531,0.155331141935812,0.224179591836735,0.733460884353741,3.07142857142857,8.46750955152449,4.04928300086278,1.57400123349361,3.3663984508106,0.951357476505166
5,"rf","mixed",14,1792,0.488756022598421,0.649416511483551,0.470821614583333,0.161225309768241,0.247469160997732,0.813095238095238,2.07142857142857,8.46750955152449,4.04928300086278,1.57400123349361,4.50717160498176,1.96213019972949
6,"rf","mixed",14,1792,0.39937814095489,0.665628159084863,0.601599510571274,0.20289569898566,0.33809820655535,0.747746598639456,2.78571428571429,8.46750955152449,4.04928300086278,1.57400123349361,4.42298627811499,1.74245628881036
7,"rf","mixed",14,1792,0.443419072974328,0.644007160592356,0.589549213435374,0.208080869532216,0.181773469387755,0.788350340136054,2.28571428571429,8.46750955152449,4.04928300086278,1.57400123349361,4.28189119368693,1.54978912074143
8,"rf","mixed",14,1792,0.50261227608368,0.660115389731312,0.563101007121599,0.180493739704257,0.289641156462585,0.800637755102041,2.42857142857143,8.46750955152449,4.04928300086278,1.57400123349361,4.43942887589177,2.00879122468617
9,"rf","mixed",14,1792,0.549954912384291,0.653552917442582,0.578778013392857,0.191585842496365,0.333834353741497,0.803996598639456,2.28571428571429,8.46750955152449,4.04928300086278,1.57400123349361,5.25518313997107,2.60157109260952
