"replicate_index","method","experimental_design","num_train","num_test","abundance_mae_mean_test","composition_balanced_accuracy_mean_test","richness_mae_test","abundance_mae_mean_train","richness_mae_train","composition_balanced_accuracy_mean_train","num_losses_mean","abundance_q95_dataset","abundance_skewness_dataset","abundance_skewness_nonzero_dataset","abundance_final_skewness_mean","abundance_final_skewness_nonzero_mean"
3,"sequential_rf","prior",10,32,74915.14988,0.840337132003799,0.695813353475904,83633.9916666667,0.6096550010366,1,0.520833333333333,471000,1.97834460173454,0.949070556251903,1.3564558297755,1.04277348074176
4,"sequential_rf","prior",10,32,79268.23788,0.84639126305793,0.601678284146479,81466.4708333333,0.626096299357727,1,0.604166666666667,471000,1.97834460173454,0.949070556251903,1.51131990017212,1.14757621266604
5,"sequential_rf","prior",10,32,77796.3700266667,0.816773504273504,0.940031609296587,44456.5953488372,0.561631908548269,1,0.13953488372093,471000,1.97834460173454,0.949070556251903,3.41594305977655,0.704326320380744
6,"sequential_rf","prior",10,32,76249.31852,0.817901234567901,0.750813045715268,63967.4875,0.712747408274832,0.875,1.0625,471000,1.97834460173454,0.949070556251903,1.39699484989253,0.88275183098545
7,"sequential_rf","prior",10,32,77296.14096,0.821047008547009,0.943829952089113,19285.5083333333,0.56119737219026,1,0.395833333333333,471000,1.97834460173454,0.949070556251903,6.54428904801358,1.75822005076815
8,"sequential_rf","prior",10,32,77545.2091733333,0.816773504273504,0.948915983628489,36528.8833333333,0.0373742803815902,1,0,471000,1.97834460173454,0.949070556251903,3.03336640430575,0.814217775079428
9,"sequential_rf","prior",10,32,74753.4404133333,0.83641975308642,0.707831688809941,83633.9916666667,0.609128702979214,1,0.520833333333333,471000,1.97834460173454,0.949070556251903,1.3564558297755,1.04277348074176
10,"sequential_rf","prior",10,32,74952.9432133333,0.844966761633428,0.699157937084475,83633.9916666667,0.608971616778316,1,0.520833333333333,471000,1.97834460173454,0.949070556251903,1.3564558297755,1.04277348074176
1,"glv_rf_full","prior",10,32,78435.0330666667,0.881766381766382,0.553618836333475,68261.4339112051,0.437053200505708,0.987315010570824,0.365750528541226,471000,1.97834460173454,0.949070556251903,2.0780818163428,1.05423842040053
2,"glv_rf_full","prior",10,32,80740.6773866667,0.887108262108262,0.551665212872317,69485.0296828753,0.439166277305026,0.987315010570824,0.365750528541226,471000,1.97834460173454,0.949070556251903,2.0780818163428,1.05423842040053
3,"glv_rf_full","prior",10,32,77940.8662666667,0.881766381766382,0.552808690244352,68899.0011839323,0.439344424971174,0.987315010570824,0.365750528541226,471000,1.97834460173454,0.949070556251903,2.0780818163428,1.05423842040053
4,"glv_rf_full","prior",10,32,80534.7191466667,0.887108262108262,0.549860984175025,68261.4339112051,0.43754384690438,0.987315010570824,0.365750528541226,471000,1.97834460173454,0.949070556251903,2.0780818163428,1.05423842040053
5,"glv_rf_full","prior",10,32,79119.8464533333,0.881588319088319,0.548738267056129,68261.4339112051,0.438573454431288,0.987315010570824,0.365750528541226,471000,1.97834460173454,0.949070556251903,2.0780818163428,1.05423842040053
6,"glv_rf_full","prior",10,32,78831.4791733333,0.873219373219373,0.552547124652501,68515.5030021142,0.438362269496673,0.987315010570824,0.365750528541226,471000,1.97834460173454,0.949070556251903,2.0780818163428,1.05423842040053
7,"glv_rf_full","prior",10,32,78291.5525866667,0.881766381766382,0.549714279355682,69153.0702748414,0.440218463720868,0.987315010570824,0.365750528541226,471000,1.97834460173454,0.949070556251903,2.0780818163428,1.05423842040053
8,"glv_rf_full","prior",10,32,77836.6497066667,0.887108262108262,0.553905455343763,69256.1478224101,0.440095484237931,0.987315010570824,0.365750528541226,471000,1.97834460173454,0.949070556251903,2.0780818163428,1.05423842040053
9,"glv_rf_full","prior",10,32,78668.5830666667,0.881766381766382,0.551691853826284,69002.0787315011,0.438762153143451,0.987315010570824,0.365750528541226,471000,1.97834460173454,0.949070556251903,2.0780818163428,1.05423842040053
10,"glv_rf_full","prior",10,32,79810.79104,0.887108262108262,0.546045262113927,68158.3563636364,0.437757884680773,0.987315010570824,0.365750528541226,471000,1.97834460173454,0.949070556251903,2.0780818163428,1.05423842040053
1,"glv_rf","high-2",14,32,186283.046028474,0.845886752136752,0.821333333333333,73875.9743117217,0.734138972809668,0.858383685800604,0.521148036253776,471000,1.97834460173454,0.949070556251903,1.6656082169036,1.0090501442518
2,"glv_rf","high-2",14,32,694282.311270184,0.86701685660019,0.896,78451.5687859995,1.06334841628959,0.865040650406504,0.494720965309201,471000,1.97834460173454,0.949070556251903,1.54727238888467,1.0194988187315
3,"glv_rf","high-2",14,32,180031.906298639,0.877077397910731,0.834666666666667,74945.6905318741,0.709969788519637,0.964123867069486,0.498489425981873,471000,1.97834460173454,0.949070556251903,1.63488590212836,0.992775173091699
4,"glv_rf","high-2",14,32,96151.690930086,0.795109211775878,0.96,76084.0157301901,0.814199395770393,0.885586319218241,0.533232628398791,471000,1.97834460173454,0.949070556251903,1.63806744265699,1.01032111657747
5,"glv_rf","high-2",14,32,95372.9624382125,0.769052706552707,0.871333333333333,81499.5956059109,0.939668174962293,0.914634146341463,0.559577677224736,471000,1.97834460173454,0.949070556251903,1.6399276924634,1.07001788907786
6,"glv_rf","high-2",14,32,183879.644427528,0.709817188983856,0.914666666666667,77548.9504221927,0.921450151057402,0.788680781758958,0.495468277945619,471000,1.97834460173454,0.949070556251903,1.60419570267232,1.03614733027197
7,"glv_rf","high-2",14,32,136691.571323594,0.806238129154796,0.857333333333333,82905.9668127886,0.800904977375566,0.845121951219512,0.443438914027149,471000,1.97834460173454,0.949070556251903,1.53680206921969,0.987082778329932
8,"glv_rf","high-2",14,32,109893.128687226,0.810214862298196,1.228,75083.9221140243,1.15060240963855,0.903409090909091,0.509036144578313,471000,1.97834460173454,0.949070556251903,1.59978295229511,0.995241350045075
9,"glv_rf","high-2",14,32,113375.972029303,0.779795821462488,0.918666666666667,76031.2937695905,0.922960725075529,0.846091205211726,0.564954682779456,471000,1.97834460173454,0.949070556251903,1.64419558975226,1.03997638459935
10,"glv_rf","high-2",14,32,170465.728523229,0.796444681861349,0.836,77325.893515458,0.864457831325301,0.922077922077922,0.506024096385542,471000,1.97834460173454,0.949070556251903,1.59214729543431,1.02026083063709
1,"rf","high-2",14,32,71839.5419933333,0.911740265906933,0.700150320044802,92588.4125830816,0.751274960829893,0.987242128121607,0.509063444108761,471000,1.97834460173454,0.949070556251903,1.60631554065127,1.0267923712467
2,"rf","high-2",14,32,65399.7349933333,0.89764363722697,0.696574429840345,85168.6322138554,0.745504436702343,0.97754329004329,0.528614457831325,471000,1.97834460173454,0.949070556251903,1.59907229013252,1.04897899150476
3,"rf","high-2",14,32,72069.4883266667,0.878858024691358,0.666819382759552,86437.625060423,0.766749941663378,0.977470141150923,0.551359516616314,471000,1.97834460173454,0.949070556251903,1.6415150327713,1.04913966953073
4,"rf","high-2",14,32,70784.5975533333,0.880460588793922,0.674671778879791,88766.8031825038,0.760980706624367,0.990243902439024,0.494720965309201,471000,1.97834460173454,0.949070556251903,1.54727238888467,1.0194988187315
5,"rf","high-2",14,32,70298.2798866667,0.882003798670465,0.63681298469733,88854.0493966817,0.694448203706801,0.977506775067751,0.539969834087481,471000,1.97834460173454,0.949070556251903,1.60172666734871,1.05065714088813
6,"rf","high-2",14,32,66153.5835266667,0.893755935422602,0.649245559809435,84446.9897129909,0.752317729924917,0.977470141150923,0.545317220543807,471000,1.97834460173454,0.949070556251903,1.63667642100781,1.0365419398956
7,"rf","high-2",14,32,80895.1022733333,0.886781813865147,0.652013911608426,95449.0502857143,0.743404950250597,0.977579686655862,0.547368421052632,471000,1.97834460173454,0.949070556251903,1.5618488120279,1.00830444243411
8,"rf","high-2",14,32,69956.29116,0.920287274453941,0.758578066862427,85152.1308761329,0.745399120245573,0.988167170191339,0.465256797583082,471000,1.97834460173454,0.949070556251903,1.62573366663787,0.995268783389771
9,"rf","high-2",14,32,66306.7731466667,0.87767094017094,0.634363885415896,85902.9832277526,0.685850502615115,0.977506775067751,0.532428355957768,471000,1.97834460173454,0.949070556251903,1.56217426121551,1.00951648563033
10,"rf","high-2",14,32,71054.6837933333,0.891678537511871,0.641386194241375,88724.1256344411,0.764771659757795,0.977470141150923,0.566465256797583,471000,1.97834460173454,0.949070556251903,1.65436633333877,1.09085842024223
1,"naive","high-2",14,32,75790.2065605333,1,0.362666666666667,99303.3852960059,0.487179487179487,1,0.487179487179487,471000,1.97834460173454,0.949070556251903,1.50982726486362,0.980639194509218
2,"naive","high-2",14,32,75437.9701526756,1,0.362666666666667,96506.116712143,0.48868778280543,1,0.48868778280543,471000,1.97834460173454,0.949070556251903,1.58972257992027,1.01582793045132
3,"naive","high-2",14,32,75587.4102875733,1,0.362666666666667,95160.7141073435,0.535338345864662,1,0.535338345864662,471000,1.97834460173454,0.949070556251903,1.5719469431696,0.980728387642493
4,"naive","high-2",14,32,75899.1688079289,1,0.362666666666667,94210.9283538394,0.477341389728097,1,0.477341389728097,471000,1.97834460173454,0.949070556251903,1.59996245915379,0.997604842017089
5,"naive","high-2",14,32,75452.0206826667,1,0.362666666666667,94168.6405603135,0.537650602409639,1,0.537650602409639,471000,1.97834460173454,0.949070556251903,1.61840318648422,1.03198820438229
6,"naive","high-2",14,32,75981.3813322311,1,0.362666666666667,95610.5182637983,0.509063444108761,1,0.509063444108761,471000,1.97834460173454,0.949070556251903,1.60631554065127,1.0267923712467
7,"naive","high-2",14,32,75555.7071099022,1,0.362666666666667,95488.1796299169,0.529323308270677,1,0.529323308270677,471000,1.97834460173454,0.949070556251903,1.55959116892737,0.972320336576629
8,"naive","high-2",14,32,75830.0789899378,1,0.362666666666667,95295.519176739,0.544494720965309,1,0.544494720965309,471000,1.97834460173454,0.949070556251903,1.62784796626344,1.0294185916471
9,"naive","high-2",14,32,75867.0441547022,1,0.362666666666667,95127.6306197976,0.517293233082707,1,0.517293233082707,471000,1.97834460173454,0.949070556251903,1.58722530365076,0.9732456930205
10,"naive","high-2",14,32,75568.2553924978,1,0.362666666666667,97065.514118466,0.494720965309201,1,0.494720965309201,471000,1.97834460173454,0.949070556251903,1.54727238888467,1.0194988187315
1,"glv","high-2",14,32,304893.354014732,0.933820037986705,0.474,336163.830485649,0.702416918429003,0.898751357220413,0.560422960725076,471000,1.97834460173454,0.949070556251903,1.61433087146311,1.05774840590562
2,"glv","high-2",14,32,273013.075777238,0.915360873694207,0.498666666666667,327147.82252882,0.758308157099698,0.894815418023887,0.487915407854985,471000,1.97834460173454,0.949070556251903,1.56388232339279,0.994400169997192
3,"glv","high-2",14,32,372407.75924105,0.940408357075024,0.44,561453.624722263,0.645015105740181,0.913816503800217,0.580060422960725,471000,1.97834460173454,0.949070556251903,1.65678401404746,1.08163553997303
4,"glv","high-2",14,32,206520.311705094,0.943138651471985,0.423333333333333,219344.472233878,0.609939759036145,0.916666666666667,0.537650602409639,471000,1.97834460173454,0.949070556251903,1.61840318648422,1.03198820438229
5,"glv","high-2",14,32,279563.331207407,0.944444444444444,0.444,281161.601949205,0.607250755287009,0.936074918566775,0.566465256797583,471000,1.97834460173454,0.949070556251903,1.65436633333877,1.09085842024223
6,"glv","high-2",14,32,270631.83864436,0.945868945868946,0.478666666666667,200638.006954321,0.726586102719033,0.923045602605863,0.534743202416918,471000,1.97834460173454,0.949070556251903,1.62257638085134,1.03911656348309
7,"glv","high-2",14,32,372407.759240984,0.940408357075024,0.44,561453.624722111,0.645015105740181,0.913816503800217,0.580060422960725,471000,1.97834460173454,0.949070556251903,1.65678401404746,1.08163553997303
8,"glv","high-2",14,32,507382.815178828,0.911206077872745,0.515333333333333,406645.359512637,0.79788838612368,0.878726287262873,0.542986425339366,471000,1.97834460173454,0.949070556251903,1.58987853379129,1.03873472280383
9,"glv","high-2",14,32,203211.500575121,0.917141500474834,0.451333333333333,219607.780832664,0.716440422322775,0.866531165311653,0.544494720965309,471000,1.97834460173454,0.949070556251903,1.62784796626344,1.0294185916471
10,"glv","high-2",14,32,304319.275952308,0.932217473884141,0.425333333333333,459701.973182327,0.645550527903469,0.900948509485095,0.532428355957768,471000,1.97834460173454,0.949070556251903,1.56217426121551,1.00951648563033
1,"glv_rf_full","high-2",14,32,70905.6750133333,0.942693494776828,0.822678865457705,85071.8447289157,0.769895393374476,0.97754329004329,0.509036144578313,471000,1.97834460173454,0.949070556251903,1.59978295229511,0.995241350045075
2,"glv_rf_full","high-2",14,32,78734.8038166667,0.915390550807217,0.785236102698181,82909.4962971342,0.798539049414466,0.990243902439024,0.505279034690799,471000,1.97834460173454,0.949070556251903,1.56157961617615,1.01835101352614
3,"glv_rf_full","high-2",14,32,73278.6902066667,0.901204890788224,0.761075647870011,89924.728974359,0.725734044550079,0.977506775067751,0.539969834087481,471000,1.97834460173454,0.949070556251903,1.60172666734871,1.05065714088813
4,"glv_rf_full","high-2",14,32,76051.35654,0.949786324786325,0.800949007289426,89680.7138821752,0.782007392566508,0.987242128121607,0.509063444108761,471000,1.97834460173454,0.949070556251903,1.60631554065127,1.0267923712467
