"replicate_index","method","experimental_design","num_train","num_test","abundance_mae_mean_test","abundance_mae_mean_train","num_losses_mean","abundance_q95_dataset","abundance_skewness_dataset","abundance_skewness_nonzero_dataset","abundance_final_skewness_mean","abundance_final_skewness_nonzero_mean"
6,"glv_rf","low-2",14,53,0.277514094313247,0.279399144416946,0.119047619047619,0.0612549741245239,3.30255105465393,2.18816545435719,3.48771401504593,1.28828774461431
7,"glv_rf","low-2",14,53,0.288117647424194,0.277752695419497,0.119047619047619,0.0570040689999999,3.15696931816209,2.10622071426213,4.37174283442004,1.92436418074065
8,"glv_rf","low-2",14,53,0.292718174156707,0.30201389400497,0.0714285714285714,0.0532964241361482,3.43409120986445,2.32581075730813,3.88556606795052,1.81481059961235
9,"glv_rf","low-2",14,53,0.298835300133765,0.263996835179478,0.0238095238095238,0.0575316892117433,2.9028187715423,1.87785993483113,3.6550371163438,1.54706826022148
10,"glv_rf","low-2",14,53,0.269372131060454,0.254169817548868,0.119047619047619,0.0529940282431566,3.37241473168697,2.24777689991651,4.49339472025816,1.90700013926895
1,"rf","low-2",14,53,0.00887756963757084,0.00194641647724944,0.0238095238095238,0.0546067637247047,2.94374615348121,1.96128899168102,3.00302123722693,1.1365767808833
2,"rf","low-2",14,53,0.0112588122048456,0.00148328161044005,0.0476190476190476,0.0561918599743826,3.15857556671375,2.07604886878177,3.66147995588785,1.41665901029746
3,"rf","low-2",14,53,0.00843157135034268,0.00210365825352168,0.119047619047619,0.0533073735421704,3.31140068855595,2.24654950168448,4.22531222012246,1.77402674630867
4,"rf","low-2",14,53,0.00878375359690708,0.00165620609480137,0.119047619047619,0.0582691465494767,3.05634781912258,2.04126668591551,3.76064027994296,1.52998267910747
5,"rf","low-2",14,53,0.00899492613954246,0.00232816346790719,0,0.0561173509331138,3.2049058660432,2.16666882356349,3.44036767557959,1.54284281188187
6,"rf","low-2",14,53,0.00818806730063059,0.00136997621959445,0.0952380952380952,0.0561650577591819,2.96676466231284,1.92868194270771,4.11201744294159,1.85833806375949
7,"rf","low-2",14,53,0.0117313097006233,0.00185868474909298,0.142857142857143,0.0685428048462671,3.03225827320862,1.94603831840087,3.81481834374582,1.4913795555691
8,"rf","low-2",14,53,0.00809973448140782,0.0016072351707506,0,0.0567584634507715,3.08837796592128,2.0351633888833,3.22481695582214,1.30874189752818
9,"rf","low-2",14,53,0.009204181754703,0.00231705453976291,0.142857142857143,0.0620714374999999,2.93390810036872,1.91115624477735,3.20316101087506,1.16079059903364
10,"rf","low-2",14,53,0.00828576832635376,0.00201795700187459,0.0714285714285714,0.0524830198807764,3.21678287311435,2.15368876965901,3.95276209571522,1.70895053560505
1,"naive","low-2",14,53,0.0100965961759459,0.00802150112130548,0.0714285714285714,0.0620988066906598,3.11392179172606,2.06316450735161,3.41876589530108,1.37657627690523
2,"naive","low-2",14,53,0.00923906926076117,0.00836461256446815,0.119047619047619,0.0545915848074295,3.16715563163129,2.07420315034772,3.39038366672009,1.34769796670515
3,"naive","low-2",14,53,0.00945070072759424,0.00623798543705901,0.119047619047619,0.0603853352215337,3.00077645677151,1.94643428263139,4.04431912476512,1.77273089994173
4,"naive","low-2",14,53,0.00972965201053556,0.00824745769240895,0.119047619047619,0.0583251778484371,2.99961617430724,1.96015188199046,3.29575119497146,1.23554384371781
5,"naive","low-2",14,53,0.00937243262605275,0.00615020113736862,0.0476190476190476,0.0558862148992342,3.12693365837637,2.05613219350213,4.35627749757631,2.11377054558225
6,"naive","low-2",14,53,0.00914062867144758,0.00757803421133181,0.0952380952380952,0.0534366755072434,3.0810564490184,2.00567301842181,3.7991710451314,1.76015696561285
7,"naive","low-2",14,53,0.00960313837283458,0.00904410475636979,0.0238095238095238,0.0537610889256945,3.26310808848688,2.15959106078015,3.38856568557839,1.45074719187827
8,"naive","low-2",14,53,0.00968225543462683,0.00852309073316478,0.0476190476190476,0.0547020305077707,3.21945578418309,2.15136301227137,3.59868463698852,1.2654114920171
9,"naive","low-2",14,53,0.00911663554204931,0.00912374338895679,0.0476190476190476,0.0517765093665195,3.26817211723335,2.23372136025905,3.42048843331436,1.55539709475851
10,"naive","low-2",14,53,0.0103632330923884,0.00847315539653607,0.0952380952380952,0.0631554034646837,2.90078801363015,1.88086633246411,3.55710710075609,1.36857765976503
1,"glv","low-2",14,53,0.010982575654651,0.00417012490462554,0.0476190476190476,0.0580461089996768,3.18516607355698,2.13035571141266,3.4717906621513,1.42996064371209
2,"glv","low-2",14,53,0.0184737036403155,0.0063918684666152,0.0714285714285714,0.0540126932190583,3.10931113686679,2.05115810947702,4.08147280205867,1.90818754911006
3,"glv","low-2",14,53,0.0284392278197075,0.00667983816254186,0.0952380952380952,0.0610214861494478,2.96011803000181,1.90716923158303,3.60668155871996,1.37484089786436
4,"glv","low-2",14,53,0.0223937156099303,0.00465229757082907,0.0952380952380952,0.0562196866564072,2.92729368867353,1.89683914538674,3.17041719851135,1.15588507297236
5,"glv","low-2",14,53,0.0273087903502871,0.0130551594023426,0.0714285714285714,0.0569624387657185,3.24510569125663,2.18875402589167,4.00243297774709,1.76382683856152
6,"glv","low-2",14,53,0.0179184581093139,0.00816415740709725,0.0952380952380952,0.0537590175026053,3.1312225609764,2.09319639569844,3.86739993442026,1.66764106836507
7,"glv","low-2",14,53,0.0328288428149772,0.00625521325853167,0.0714285714285714,0.0604206569577831,3.11138050149256,2.04723080542106,3.80766612517902,1.63936253149075
8,"glv","low-2",14,53,0.0157885214562328,0.00496048804108837,0.0714285714285714,0.053824255621301,3.22412547767887,2.19461534715662,3.19105868496261,1.08983672633822
9,"glv","low-2",14,53,0.0326087951368763,0.00517781922663475,0.0238095238095238,0.0617212997061175,2.96453822520098,1.90964002027341,3.29066376487999,1.39926829549888
10,"glv","low-2",14,53,0.0146004372288936,0.00513774910138153,0.142857142857143,0.0567426814507715,3.11001195478937,2.0455803254847,4.03996486070745,1.76208187256994
1,"glv_rf_full","low-2",14,53,0.0093580232236651,0.00342374379544183,0.0952380952380952,0.0554628159999998,3.31882463822756,2.21165294070213,4.13003524552128,1.85893913534899
2,"glv_rf_full","low-2",14,53,0.00909403269061419,0.00199374412992657,0.0952380952380952,0.056590315066215,3.12265392690682,2.07968446483136,3.81132314061341,1.62485377197592
3,"glv_rf_full","low-2",14,53,0.00909707209453334,0.00266540685890848,0.0952380952380952,0.0552780132107313,2.97440377611668,1.92792893107953,3.68708923103305,1.66649216033423
4,"glv_rf_full","low-2",14,53,0.00896164577709506,0.00238111130043327,0.0714285714285714,0.0535080970456811,3.13756114470159,2.1411681416842,3.7327386555295,1.54681717936521
5,"glv_rf_full","low-2",14,53,0.009751302329813,0.00272315187512317,0.0714285714285714,0.0590834663929878,3.18367455846521,2.12096672067902,3.5221496878354,1.35903786579615
6,"glv_rf_full","low-2",14,53,0.0097386639096495,0.00258177458592303,0.0238095238095238,0.0551069221611422,2.86911722303267,1.84520775598216,3.60405257166331,1.53992068124018
7,"glv_rf_full","low-2",14,53,0.00899497171153112,0.00276053125538818,0.0714285714285714,0.056709711,3.33997001039084,2.23349007755247,3.73574488213504,1.57490284690491
8,"glv_rf_full","low-2",14,53,0.00926331877001396,0.00216589469556636,0,0.0565095282121103,3.00146829552038,1.95981413865857,4.16143646524255,1.90408920430298
9,"glv_rf_full","low-2",14,53,0.0114517079427605,0.00265011903868202,0.0476190476190476,0.0613732984299416,3.05356915211844,1.99457187571998,3.42838724579422,1.21179398579102
10,"glv_rf_full","low-2",14,53,0.00880450534595673,0.00240122758234136,0.0714285714285714,0.0531133544963875,3.41491885726225,2.30970924413378,4.2379404697916,1.80024815381222
1,"glv_rf","low-3",14,53,0.3494091969341,0.337099591631661,0.0238095238095238,0.0604206569577831,2.9768578205575,1.96655161262269,3.89205853367595,2.00513284527001
2,"glv_rf","low-3",14,53,0.405383991274215,0.335852682861128,0.0714285714285714,0.0561758166151383,3.06947066572359,2.0242758986164,3.28815699066692,1.49744058437161
3,"glv_rf","low-3",14,53,0.368516190210239,0.34812344345301,0.0476190476190476,0.0538363607865709,2.96498501500016,1.95787022409153,2.72529506857574,1.18265340390246
4,"glv_rf","low-3",14,53,0.368870874897098,0.336171743049585,0.0714285714285714,0.0570115972377277,3.05292475278115,2.02399859869979,2.95289191858585,1.31656546331875
5,"glv_rf","low-3",14,53,0.350446776925175,0.324952000984196,0.119047619047619,0.056112689717913,3.19815976898498,2.13923208560446,4.09299782313018,2.0450063968266
6,"glv_rf","low-3",14,53,0.41171422613889,0.336280994533811,0.0952380952380952,0.0603450259999998,3.27011714029894,2.18648372516224,2.87467845822371,1.24651423499976
7,"glv_rf","low-3",14,53,0.335081658111765,0.311572548249911,0.0952380952380952,0.0630018023366234,3.08228577400034,2.02192632765681,3.97711910789357,1.90269894517839
8,"glv_rf","low-3",14,53,0.363328463982384,0.337567788076075,0.119047619047619,0.050039009478,3.62275376984535,2.4606646487665,4.6553255430315,2.50466408508379
9,"glv_rf","low-3",14,53,0.364340738507097,0.36103096226169,0.0952380952380952,0.0596473995196287,3.03138211483536,1.99342942312547,4.40755649632661,2.49285588999158
10,"glv_rf","low-3",14,53,0.40655000416635,0.370770695594086,0.0714285714285714,0.054635989,3.2607861350208,2.17755669104362,3.60318813269835,1.98166447225614
1,"rf","low-3",14,53,0.00875498438964497,0.00284917565752861,0.0476190476190476,0.0558862148992342,3.04983844663482,2.00453555332317,3.25341486080867,1.58692120530423
2,"rf","low-3",14,53,0.00748923656803926,0.00215879153976533,0.0714285714285714,0.0537590175026053,3.3397943681111,2.24557044620097,3.65062347570772,1.9469842336129
3,"rf","low-3",14,53,0.00871764186173387,0.00222760732212827,0.0952380952380952,0.0590505363155059,3.30339733524908,2.18570942770921,3.24887203396421,1.46425413254057
4,"rf","low-3",14,53,0.00955578700263736,0.00279924501900242,0.0476190476190476,0.0542529674901424,3.17429616137179,2.12620867695598,3.83376764777921,2.23817325755179
