"replicate_index","method","experimental_design","num_train","num_test","abundance_mae_mean_test","abundance_mae_mean_train","num_losses_mean","abundance_q95_dataset","abundance_skewness_dataset","abundance_skewness_nonzero_dataset","abundance_final_skewness_mean","abundance_final_skewness_nonzero_mean"
6,"glv","high-1",10,238565,1.15896024984403e+61,0.516575020862597,14.3,4320.91419121939,4.7817491693625,0.800668208482224,3.84811823109962,0.564570555773291
7,"glv","high-1",10,238565,1.54940859570152e+59,1.01701174761122,14.2,4320.91419121939,4.7817491693625,0.800668208482224,3.84811658431602,0.619389457864006
9,"glv","high-1",10,238565,2.0048427508577e+51,0.391959692901941,14.1,4320.91419121939,4.7817491693625,0.800668208482224,3.84809637945806,0.671983196714643
6,"glv_rf_full","high-1",10,238565,989.761794796201,300.508374525986,14.2,4320.91419121939,4.7817491693625,0.800668208482224,3.84810804428783,0.619385992165081
3,"glv_rf","high-2",10,238565,3.49236134766681e+39,1001.2340783174,13.4,4320.91419121939,4.7817491693625,0.800668208482224,3.90530065758479,0.658846805571619
5,"glv_rf","high-2",10,238565,7.29673360434927e+67,1211.47164467156,13.5,4320.91419121939,4.7817491693625,0.800668208482224,3.84812534003059,0.564573284566416
6,"glv_rf","high-2",10,238565,1.05727194896412e+39,1006.53713958561,13.2,4320.91419121939,4.7817491693625,0.800668208482224,3.9053082937849,0.658865984183603
7,"glv_rf","high-2",10,238565,1.67156826112053e+53,982.039894919303,13.2,4320.91419121939,4.7817491693625,0.800668208482224,4.06844250647513,0.762322836114425
8,"glv_rf","high-2",10,238565,2.18890099751895e+49,1003.86098895597,13.2,4320.91419121939,4.7817491693625,0.800668208482224,3.90534899086131,0.711143571514981
1,"rf","high-2",10,238565,1028.7991429859,360.740131944442,13.4,4320.91419121939,4.7817491693625,0.800668208482224,3.84810163861159,0.564565052255285
2,"rf","high-2",10,238565,527.14950813134,236.509578081109,13.1,4320.91419121939,4.7817491693625,0.800668208482224,4.13481194856356,0.858438596623766
3,"rf","high-2",10,238565,1048.20164727659,180.583564472336,13.3,4320.91419121939,4.7817491693625,0.800668208482224,3.84815815944032,0.50728154259404
4,"rf","high-2",10,238565,1011.14100078617,420.507180507879,13.3,4320.91419121939,4.7817491693625,0.800668208482224,3.84810617518012,0.564572172913039
10,"rf","high-2",10,238565,1019.96051450096,270.475656148942,13.3,4320.91419121939,4.7817491693625,0.800668208482224,3.8481287039877,0.507270165712799
1,"naive","high-2",10,238565,1486.5149758029,2393.10379532236,13.5,4320.91419121939,4.7817491693625,0.800668208482224,3.90527889735331,0.658873927401786
2,"naive","high-2",10,238565,1486.5149758029,2058.16061222233,13.1,4320.91419121939,4.7817491693625,0.800668208482224,3.84809683958146,0.619381403430242
3,"naive","high-2",10,238565,1486.5149758029,2254.02160071425,13.5,4320.91419121939,4.7817491693625,0.800668208482224,3.9054287300041,0.488292561947541
4,"naive","high-2",10,238565,1486.5149758029,2307.57880082243,13.2,4320.91419121939,4.7817491693625,0.800668208482224,3.90530542499876,0.711129644812585
5,"naive","high-2",10,238565,1486.5149758029,2309.72478028064,13.5,4320.91419121939,4.7817491693625,0.800668208482224,3.90529678271099,0.547607253809662
6,"naive","high-2",10,238565,1486.5149758029,2395.04172532423,13.4,4320.91419121939,4.7817491693625,0.800668208482224,3.90532742296099,0.604516193483271
7,"naive","high-2",10,238565,1486.5149758029,2309.57368933862,13.2,4320.91419121939,4.7817491693625,0.800668208482224,3.93363043567176,0.782402031872895
8,"naive","high-2",10,238565,1486.5149758029,2380.69827678668,13.1,4320.91419121939,4.7817491693625,0.800668208482224,3.93701194962134,0.737489701491724
9,"naive","high-2",10,238565,1486.5149758029,1936.80771961416,13.6,4320.91419121939,4.7817491693625,0.800668208482224,3.84814865457603,0.447187893928251
10,"naive","high-2",10,238565,1486.5149758029,2206.49938861108,13.3,4320.91419121939,4.7817491693625,0.800668208482224,3.93188439549204,0.73123720747049
1,"glv","high-2",10,238565,5.55027947211574e+41,740.970967626867,13.1,4320.91419121939,4.7817491693625,0.800668208482224,3.93189619949355,0.731142740170602
2,"glv","high-2",10,238565,2.81536789063629e+26,80.2812562537843,12.9,4320.91419121939,4.7817491693625,0.800668208482224,4.16510175681052,0.981836306425576
3,"glv","high-2",10,238565,7.15340135727777e+50,3.95935317396748,13.2,4320.91419121939,4.7817491693625,0.800668208482224,3.90761794194907,0.66031173949961
4,"glv","high-2",10,238565,9.44814703408389e+63,0.722924918792074,13.6,4320.91419121939,4.7817491693625,0.800668208482224,3.84811772986364,0.507264484770593
5,"glv","high-2",10,238565,2.16769409300919e+37,4.43643002052392,13.2,4320.91419121939,4.7817491693625,0.800668208482224,3.9053165100934,0.658798536849947
6,"glv","high-2",10,238565,1.91622945600877e+42,3.50093453767649,13.2,4320.91419121939,4.7817491693625,0.800668208482224,3.90530538421033,0.658809941125904
7,"glv","high-2",10,238565,6.01397086861636e+45,3.76753801620537,13.2,4320.91419121939,4.7817491693625,0.800668208482224,3.90531377473091,0.658777661125535
9,"glv","high-2",10,238565,2.57863947683998e+33,11928.6822500662,13.1,4320.91419121939,4.7817491693625,0.800668208482224,3.93363469729069,0.732220447375806
10,"glv","high-2",10,238565,2.54007041476071e+50,0.251815775473975,13.6,4320.91419121939,4.7817491693625,0.800668208482224,3.84809338576949,0.564568842943657
2,"glv_rf_full","high-2",10,238565,934.008928267533,240.981087133838,13.4,4320.91419121939,4.7817491693625,0.800668208482224,3.84811709086699,0.564570442164504
3,"glv_rf_full","high-2",10,238565,920.05378898758,240.927269190464,13.4,4320.91419121939,4.7817491693625,0.800668208482224,3.84809351721778,0.564562114630814
6,"glv_rf_full","high-2",10,238565,887.240525897111,300.446041003091,13.5,4320.91419121939,4.7817491693625,0.800668208482224,3.84807729633375,0.619381179548069
8,"glv_rf_full","high-2",10,238565,897.061656647205,289.987389843489,13.3,4320.91419121939,4.7817491693625,0.800668208482224,3.90532840184882,0.604386525950644
2,"glv_rf","low-2",10,238565,1278.7062949332,87.7592456688281,0.6,4320.91419121939,4.7817491693625,0.800668208482224,6.29834264122867,0.333628157050903
3,"glv_rf","low-2",10,238565,1082.61162960577,43.3370379947757,0.9,4320.91419121939,4.7817491693625,0.800668208482224,8.08737917218066,1.45856206509372
4,"glv_rf","low-2",10,238565,4883.149500454,111.820867890433,0.8,4320.91419121939,4.7817491693625,0.800668208482224,7.3180672215151,1.1954421879193
