"a","b","c","d","e","f","g","h","i","richness","a.star","b.star","c.star","d.star","e.star","f.star","g.star","h.star","i.star","feasible.and.stable","state_idx"
0,0,1,1,0,1,0,1,1,3,0,0,28,190,0,0,0,11,0,NA,428
0,0,1,1,0,1,0,1,1,3,0,0,6,156,0,0,0,56,0,NA,428
0,0,1,1,0,1,0,1,1,3,0,0,24,152,0,0,0,1,0,NA,428
0,0,1,1,1,0,0,1,1,4,0,0,0,95,121,0,0,2,4,NA,412
0,0,1,1,1,0,0,1,1,4,0,0,6,113,190,0,0,10,0,NA,412
0,0,1,1,1,0,0,1,1,4,0,0,0,136,79,0,0,4,1,NA,412
0,0,1,1,1,0,1,0,0,2,0,0,0,246,115,0,0,0,0,NA,92
0,0,1,1,1,0,1,0,0,3,0,0,6,216,98,0,0,0,0,NA,92
0,0,1,1,1,0,1,0,0,3,0,0,5,154,64,0,0,0,0,NA,92
0,1,0,0,0,0,0,0,1,2,0,4,0,0,0,0,0,0,280,NA,258
0,1,0,0,0,0,0,0,1,2,0,3,0,0,0,0,0,0,260,NA,258
0,1,0,0,1,1,0,0,0,2,0,0,0,0,155,20,0,0,0,NA,50
0,1,0,0,1,1,0,0,0,1,0,0,0,0,210,0,0,0,0,NA,50
0,1,0,0,1,1,0,0,0,2,0,0,0,0,277,5,0,0,0,NA,50
0,1,0,0,1,1,0,1,0,2,0,0,0,0,167,0,0,104,0,NA,178
0,1,0,0,1,1,0,1,0,2,0,0,0,0,156,0,0,32,0,NA,178
0,1,0,0,1,1,0,1,0,2,0,0,0,0,242,0,0,109,0,NA,178
0,1,0,0,1,1,1,0,0,3,0,12,0,0,239,0,36,0,0,NA,114
0,1,0,0,1,1,1,0,0,2,0,0,0,0,222,0,32,0,0,NA,114
0,1,0,0,1,1,1,0,0,3,0,3,0,0,292,0,34,0,0,NA,114
0,1,0,0,1,1,1,0,1,3,0,0,0,0,187,0,20,0,22,NA,370
0,1,0,0,1,1,1,0,1,3,0,0,0,0,162,0,8,0,20,NA,370
