"a","b","c","d","e","f","g","h","i","j","k","l","richness","a.star","b.star","c.star","d.star","e.star","f.star","g.star","h.star","i.star","j.star","k.star","l.star","feasible.and.stable","state_idx"
0,0,0,1,1,1,1,1,0,1,1,0,3,0,0,0,0.292382465475163,0.469829919291809,0,0.345863511805171,0,0,0.00304386009962845,0,0,"TRUE",1784
0,0,1,1,1,1,1,1,0,1,1,0,3,0,0,0,0.292382722476429,0.469829703042225,0,0.345863106717631,0,0,0.00304329653438831,0,0,"TRUE",1788
1,1,0,0,0,0,0,0,1,1,1,0,3,0.640897248548447,0.387453969778067,0,0,0,0,0,0,0.489702644752272,0,0,0,"TRUE",1795
0,1,1,0,1,0,0,0,1,1,1,0,3,0,0,0.434768325557147,0,0.147087352395655,0,0,0,0.647655886654305,0,0,0,"TRUE",1814
1,1,1,1,1,0,0,0,1,1,1,0,4,0.777977269266948,0,0,0.111768694679855,0.403304702078509,0,0,0,0.59065316553102,0,0,0,"TRUE",1823
1,0,0,1,1,1,0,0,1,1,1,0,4,0.777977269266948,0,0,0.111768694679855,0.40330470207851,0,0,0,0.590653165531019,0,0,0,"TRUE",1849
0,1,0,1,1,1,0,0,1,1,1,0,4,0,0,0,0.288420642632897,0.390159185572882,0,0,0,0.764878314899644,0.12262888626525,0,0,"TRUE",1850
0,0,0,0,0,0,1,0,1,1,1,0,3,0,0,0,0,0,0,0.351292191617042,0,0.163219207233644,0.00140921441732736,0.0153026294762516,0,"TRUE",1856
1,0,1,0,1,0,1,0,1,1,1,0,4,0.725201214065991,0,0,0,0.522942247997359,0,0.155264608775062,0,0.497551351688232,0,0,0,"TRUE",1877
0,1,0,1,1,0,1,0,1,1,1,0,4,0,0,0,0.158321317111578,0.53101148208985,0,0.339471639211486,0,0.67000833527656,0.00522485580438443,0,0,"TRUE",1882
1,1,0,0,0,1,1,0,1,1,1,0,4,0.619995116997151,0.350268050672631,0,0,0,0,0.0751666254709726,0,0.462177278564418,0,0,0,"TRUE",1891
0,1,0,1,1,1,1,0,1,1,1,0,4,0,0,0,0.158321317655745,0.531011481585701,0,0.339471638257293,0,0.670008335828482,0.00522485448998462,0,0,"TRUE",1914
1,1,0,0,0,0,0,1,1,1,1,0,3,0.640897248548447,0.387453969778067,0,0,0,0,0,0,0.489702644752272,0,0,0,"TRUE",1923
