"a","b","c","d","e","f","g","h","i","j","k","stable","feasible","richness","a.star","b.star","c.star","d.star","e.star","f.star","g.star","h.star","i.star","j.star","k.star"
1,0,1,0,1,0,1,0,0,0,0,FALSE,FALSE,2,4.34384574175394e+73,0,6.59588233580786e+73,0,0,0,0,0,0,0,0
0,1,1,0,1,0,1,0,0,0,0,TRUE,TRUE,2,0,1.8971894271163e-161,3.50414098763227,0,0.182760175104084,0,9.88131291682493e-324,0,0,0,0
1,1,1,0,1,0,1,0,0,0,0,FALSE,FALSE,2,1.73572034986251e+104,0,2.63559248559722e+104,0,0,0,4.94065645841247e-324,0,0,0,0
0,0,0,1,1,0,1,0,0,0,0,TRUE,TRUE,2,0,0,0,0.596733784094663,0.812090348471048,0,4.01023813564322e-132,0,0,0,0
1,0,0,1,1,0,1,0,0,0,0,TRUE,TRUE,3,1.60319618456643,0,0,0.294186773143698,0.583175696945677,0,1.97626258336499e-323,0,0,0,0
0,1,0,1,1,0,1,0,0,0,0,TRUE,TRUE,3,0,2.97610741323815,0,0.0837181991099867,0.187863839342068,0,1.48219693752374e-323,0,0,0,0
1,1,0,1,1,0,1,0,0,0,0,FALSE,FALSE,2,3.75682052932352,6.4819680278804,0,1.97626258336499e-323,1.97626258336499e-323,0,0,0,0,0,0
0,0,1,1,1,0,1,0,0,0,0,TRUE,TRUE,3,0,0,3.50437374395616,0.0498190927017857,0.166970844527518,0,9.88131291682493e-324,0,0,0,0
1,0,1,1,1,0,1,0,0,0,0,FALSE,FALSE,2,4.33112857833444e+103,0,6.57657204751796e+103,0,0,0,-4.94065645841247e-324,0,0,0,0
0,1,1,1,1,0,1,0,0,0,0,TRUE,TRUE,3,0,8.22899283682496e-158,3.50437374395616,0.0498190927017857,0.166970844527518,0,9.88131291682493e-324,0,0,0,0
1,1,1,1,1,0,1,0,0,0,0,FALSE,FALSE,2,9.42017558282325e+26,4.94065645841247e-324,1.43040000545376e+27,0,0,0,-4.93145132501557e-08,0,0,0,0
0,0,0,0,0,1,1,0,0,0,0,TRUE,TRUE,2,0,0,0,0,0,1.1057577893107,0.0204031146282261,0,0,0,0
1,0,0,0,0,1,1,0,0,0,0,TRUE,TRUE,2,1.15875489248297,0,0,0,0,1.16802443102601,6.87255873636272e-248,0,0,0,0
0,1,0,0,0,1,1,0,0,0,0,TRUE,TRUE,2,0,2.50579461972553,0,0,0,1.27377592950788,1.48219693752374e-323,0,0,0,0
1,1,0,0,0,1,1,0,0,0,0,TRUE,TRUE,3,2.37211935556954,4.64302289696155,0,0,0,1.52204054520382,4.94065645841247e-324,0,0,0,0
0,0,1,0,0,1,1,0,0,0,0,TRUE,TRUE,2,0,0,2.99696410222578,0,0,1.21031457190054,9.88131291682493e-324,0,0,0,0
1,0,1,0,0,1,1,0,0,0,0,FALSE,FALSE,3,9.58721086339353e+73,0,1.47710891814179e+74,0,0,7.59015688685437e+72,0,0,0,0,0
0,1,1,0,0,1,1,0,0,0,0,TRUE,TRUE,2,0,9.66401558563718e-133,2.99696410222578,0,0,1.21031457190054,9.88131291682493e-324,0,0,0,0
1,1,1,0,0,1,1,0,0,0,0,FALSE,FALSE,3,1.07130146326738e+74,0,1.65056236684299e+74,0,0,8.48145127417936e+72,0,0,0,0,0
0,0,0,1,0,1,1,0,0,0,0,TRUE,TRUE,2,0,0,0,0.723289691988043,0,1.49046283171865,2.56291078937447e-86,0,0,0,0
1,0,0,1,0,1,1,0,0,0,0,TRUE,TRUE,3,1.49259291114385,0,0,0.423467333286121,0,1.4044181828642,2.47032822920623e-323,0,0,0,0
0,1,0,1,0,1,1,0,0,0,0,TRUE,TRUE,3,0,2.73754791120529,0,0.209369608941227,0,1.39771092923218,1.48219693752374e-323,0,0,0,0
1,1,0,1,0,1,1,0,0,0,0,TRUE,TRUE,3,2.37211935556954,4.64302289696155,0,8.17149328099615e-215,0,1.52204054520382,4.94065645841247e-324,0,0,0,0
0,0,1,1,0,1,1,0,0,0,0,TRUE,TRUE,3,0,0,2.9507252952791,0.219086086563431,0,1.32299825697531,9.88131291682493e-324,0,0,0,0
1,0,1,1,0,1,1,0,0,0,0,FALSE,FALSE,3,1.10582076680373e+74,0,1.70374652209749e+74,0,0,8.75473923373191e+72,0,0,0,0,0
0,1,1,1,0,1,1,0,0,0,0,TRUE,TRUE,3,0,2.50187917658289e-119,2.9507252952791,0.219086086563431,0,1.32299825697531,9.88131291682493e-324,0,0,0,0
1,1,1,1,0,1,1,0,0,0,0,FALSE,FALSE,3,1.28249195958717e+74,0,1.97594518149652e+74,0,0,1.01534380729681e+73,0,0,0,0,0
0,0,0,0,1,1,1,0,0,0,0,TRUE,TRUE,2,0,0,0,0,1.43148872821817,1.16837944073174,1.05127335798158e-300,0,0,0,0
1,0,0,0,1,1,1,0,0,0,0,TRUE,TRUE,2,1.75041015269381e-10,0,0,0,1.43148872818476,1.16837944073899,2.42166775226457e-313,0,0,0,0
0,1,0,0,1,1,1,0,0,0,0,TRUE,TRUE,3,0,2.04821804239536,0,0,0.93161674630575,1.28021509005027,1.48219693752374e-323,0,0,0,0
1,1,0,0,1,1,1,0,0,0,0,FALSE,FALSE,3,2.37211935556954,4.64302289696155,0,0,8.86753933401152e-45,1.52204054520382,0,0,0,0,0
0,0,1,0,1,1,1,0,0,0,0,TRUE,TRUE,3,0,0,2.98453181705834,0,0.761027374919087,1.23907860988407,9.88131291682493e-324,0,0,0,0
1,0,1,0,1,1,1,0,0,0,0,FALSE,FALSE,3,5.30989449897569e+73,0,8.18099510961695e+73,0,0,4.20382245411453e+72,0,0,0,0,0
0,1,1,0,1,1,1,0,0,0,0,TRUE,TRUE,3,0,1.17275661818477e-148,2.98453181705834,0,0.761027374919087,1.23907860988407,9.88131291682493e-324,0,0,0,0
1,1,1,0,1,1,1,0,0,0,0,FALSE,FALSE,3,3.42181486777304e+74,0,5.27201636579911e+74,0,0,2.70903728459067e+73,0,0,0,0,0
0,0,0,1,1,1,1,0,0,0,0,TRUE,TRUE,3,0,0,0,0.635425511116064,1.35180434737706,1.49647873977275,2.47032822920623e-323,0,0,0,0
1,0,0,1,1,1,1,0,0,0,0,TRUE,TRUE,4,0.471754392713009,0,0,0.545686386810408,1.27451191721648,1.46893917933878,1.97626258336499e-323,0,0,0,0
0,1,0,1,1,1,1,0,0,0,0,TRUE,TRUE,4,0,2.35098508920747,0,0.228047666631479,0.829127899776424,1.41449806273568,9.88131291682493e-324,0,0,0,0
1,1,0,1,1,1,1,0,0,0,0,FALSE,FALSE,3,2.37211935556954,4.64302289696155,0,2.74588381159441e-218,3.76740633008223e-45,1.52204054520382,0,0,0,0,0
0,0,1,1,1,1,1,0,0,0,0,TRUE,TRUE,4,0,0,2.94869453739773,0.170837263001766,0.747654518719693,1.32644078206037,9.88131291682493e-324,0,0,0,0
1,0,1,1,1,1,1,0,0,0,0,FALSE,FALSE,3,7.63994959416435e+73,0,1.177092883477e+74,0,0,6.04851784879057e+72,0,0,0,0,0
