"a","b","c","d","e","f","g","h","i","j","k","l","stable","feasible","richness","a.star","b.star","c.star","d.star","e.star","f.star","g.star","h.star","i.star","j.star","k.star","l.star"
1,1,0,1,0,1,1,0,0,0,0,0,TRUE,TRUE,4,0.313934362757649,1.71665575013988e-97,0,0.501835452974002,0,0.0904669729616067,0.312481356334604,0,0,0,0,0
0,0,1,1,0,1,1,0,0,0,0,0,TRUE,TRUE,3,0,0,2.69607132460496e-66,0.540422489940794,0,0.178421678657303,0.408157597982166,0,0,0,0,0
1,0,1,1,0,1,1,0,0,0,0,0,TRUE,TRUE,4,0.313934362757649,0,5.28169316382811e-53,0.501835452974002,0,0.0904669729616067,0.312481356334604,0,0,0,0,0
0,1,1,1,0,1,1,0,0,0,0,0,TRUE,TRUE,3,0,1.24477781886929e-113,3.22317253215618e-66,0.540422489940794,0,0.178421678657303,0.408157597982166,0,0,0,0,0
1,1,1,1,0,1,1,0,0,0,0,0,TRUE,TRUE,4,0.313934362757649,1.68960162262138e-97,6.38884328442995e-53,0.501835452974002,0,0.0904669729616067,0.312481356334604,0,0,0,0,0
0,0,0,0,1,1,1,0,0,0,0,0,TRUE,TRUE,2,0,0,0,0,0.712265629350721,1.73489563184967e-129,0.322606043145422,0,0,0,0,0
1,0,0,0,1,1,1,0,0,0,0,0,TRUE,TRUE,3,0.36428083538901,0,0,0,0.635807216015361,9.84265020033171e-147,0.237947705248011,0,0,0,0,0
0,1,0,0,1,1,1,0,0,0,0,0,TRUE,TRUE,2,0,6.53214532292021e-31,0,0,0.712265629350721,1.90562416043057e-130,0.322606043145421,0,0,0,0,0
1,1,0,0,1,1,1,0,0,0,0,0,TRUE,TRUE,3,0.364280835389008,2.42183294436454e-29,0,0,0.635807216015361,3.3388068627083e-148,0.237947705248012,0,0,0,0,0
0,0,1,0,1,1,1,0,0,0,0,0,TRUE,TRUE,2,0,0,7.43991403197537e-29,0,0.712265629350721,2.38399072935261e-130,0.322606043145421,0,0,0,0,0
1,0,1,0,1,1,1,0,0,0,0,0,TRUE,TRUE,3,0.364280835389008,0,2.35705258639203e-27,0,0.635807216015362,4.03440139751751e-148,0.237947705248012,0,0,0,0,0
0,1,1,0,1,1,1,0,0,0,0,0,TRUE,TRUE,2,0,4.00443408282367e-31,8.8311904829131e-29,0,0.712265629350721,8.10604027929968e-130,0.322606043145421,0,0,0,0,0
1,1,1,0,1,1,1,0,0,0,0,0,TRUE,TRUE,3,0.364280835389008,1.55895891330631e-29,2.87642793674562e-27,0,0.635807216015362,1.58308084424173e-147,0.237947705248012,0,0,0,0,0
0,0,0,1,1,1,1,0,0,0,0,0,TRUE,TRUE,3,0,0,0,0.293678802008271,0.468757436571418,2.49185618727755e-64,0.343689391033624,0,0,0,0,0
1,0,0,1,1,1,1,0,0,0,0,0,TRUE,TRUE,4,0.335851588538067,0,0,0.236058144339674,0.446043033887334,9.20088179363389e-94,0.261501353083419,0,0,0,0,0
0,1,0,1,1,1,1,0,0,0,0,0,TRUE,TRUE,3,0,7.40171921758647e-94,0,0.293678802008271,0.468757436571418,3.42105633349937e-64,0.343689391033624,0,0,0,0,0
1,1,0,1,1,1,1,0,0,0,0,0,TRUE,TRUE,4,0.335851588538067,4.44955938908097e-80,0,0.236058144339674,0.446043033887334,1.42142355138658e-93,0.261501353083419,0,0,0,0,0
0,0,1,1,1,1,1,0,0,0,0,0,TRUE,TRUE,3,0,0,7.2664914060481e-71,0.293678802008277,0.468757436571411,4.25755356520392e-64,0.343689391033626,0,0,0,0,0
