"V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11","V12"
0.57263928361768,0,0,0,0,0.41193543992528,0,0,0.130546767738374,0,0,0
0.687644217923412,0,0.346101402589728,0,0,0.0316589151379869,0,0,0.530567861107205,0,0,0
0.716954424346831,0.066674252605869,0,0,0.471674344386995,0,0,0,0.523549263174457,0,0,0
0,0,0.403071633720291,0,0.164500555695693,0.121043891798734,0,0,0.60527017981413,0,0,0
0.720259885554832,1.48813624294851e-05,0.109573517043092,0,0.397468514066855,0,0,0,0.536505339434393,0,0,0
0.772615112496505,0,0,0.123364577776389,0.405429481063956,0,0,0,0.61689745857689,0,0,0
0,0,0.200640902799065,0.224604766674075,0.193694460139487,0.113413423057236,0,0,0.744634629395361,0,0,0
0.418880663576085,0,0,0,0,0,0.24535054104337,0,0.197335769591782,0,0,0
0.638479072278728,0,0.294494289046259,0,0,0,0.175337005395556,0,0.486518084404625,0,0,0
0,0,0.428887539764988,0,0,0,0.320062181717875,0,0.566820196679984,0,0,0
0.653325727443124,0,0.314426766986022,0,0,0,0.17061226415149,0,0.506069182862145,0,0,0
0.789044445418455,0,0,0.333530398602494,0,0,0.171869557607162,0,0.68479298949651,0,0,0
0.797895866429623,0,0,0.387661556947793,0,0,0.176275681524579,0,0.696449158309575,0,0,0
0.794324803622136,0,0,0.36585231817989,0,0,0.174505200497421,0,0.691746533634206,0,0,0
0,0,0,0,0.672386957860529,0,0.323889348008405,0,0.526534608988187,0,0,0
0.720370690507767,0,0,0,0.60232333974252,0,0.157954818508998,0,0.475529453269845,0,0,0
0.717696148239966,1.70461748349151e-05,0,0,0.647080003417306,0,0.159450838478208,0,0.46317762847958,0,0,0
0.77051896626764,2.72206432220714e-05,0,0.122442424554395,0.703711889142074,0,0.159776877080499,0,0.521565769875036,0,0,0
0,0.444475123602803,0,0,0,0.0874560589172564,0.209354612772223,0,0.470444452102479,0,0,0
0.62521504675473,0.352552946140657,0,0,0,0.0103130842584093,0.0753329915883881,0,0.462309652379088,0,0,0
0,0,0.36680815842901,0,0,0.0904340299241295,0.343123864725343,0,0.492743942414677,0,0,0
0.795425112661403,0,0,0.38848588364271,0,0,0.171970722861818,0,0.707100066583003,0,0,0
0.702523425736717,0,0,0,0.570301566515426,0,0.147897260247904,0,0.519933702907139,0,0,0
0,0,0.0225720214176004,0,0.651813029596444,0,0.318401867470027,0,0.540617410572586,0,0,0
0,0,0,0.177197348987381,0.526541806710215,0,0.323750430933251,0,0.704844298731611,0,0,0
0.744386346258168,0,0,0.089698763876984,0.46702861222039,0,0.129581131391336,0,0.615984582080559,0,0,0
0.715803444600291,0,0,0.030996528359533,0.563053575746455,0,0.155531866763175,0,0.540418248179781,0,0,0
0.688977430927153,0,0.367665561636452,0,0,0,0,0,0.553025499256494,0,0,0
0.823901872696821,0.0227521843079475,0,0.356639362638978,0,0,0,0,0.730702845345296,0,0,0
0.804850803468417,0,0.0821573156686191,0.296544324769551,0,0,0,0,0.705616474817559,0,0,0
0,0,0.395125134825729,0,0.193951904779029,0,0,0.166377355883241,0.647736558822868,0,0,0
0,4.12537903709407e-05,0.114505007009013,0.191469646833725,0.33643801848569,0,0,0.237711220605258,0.732708013872361,0,0,0
0.82500097015032,0.0221822585841895,0,0.356253211766859,0,0.00592114295402996,0,0,0.728280767930507,0,0,0
0,0,0,0.228687194893833,0.402018818608901,0.149983119038379,0,0.140354094165203,0.678126335846473,0,0,0
0.662490981549975,0,0.340178730324194,0,0,0,0.166894511280724,0,0.518165558628153,0,0,0
0.719332981229745,0,0,0,0.54923556573406,0,0.162182527650829,0,0.484665317380594,0,0,0
