"AGHE.action","AGRE.action","AMME.action","ANAR.action","CEME.action","CLPU.action","ERBO.action","ERCI.action","EUPE.action","GECA.action","HECO.action","LACA.action","LOPU.action","LOWR.action","MEPO.action","NAAT.action","PLER.action","SACA.action","environment.initial","AGHE.outcome","AGRE.outcome","AMME.outcome","ANAR.outcome","CEME.outcome","CLPU.outcome","ERBO.outcome","ERCI.outcome","EUPE.outcome","GECA.outcome","HECO.outcome","LACA.outcome","LOPU.outcome","LOWR.outcome","MEPO.outcome","NAAT.outcome","PLER.outcome","SACA.outcome","state_idx"
0,0,1,0,0,1,0,1,1,1,0,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0.0001109953,0,0,0,0,0,0,0,0,21699.97,0,78756
0,1,1,1,0,1,0,1,0,0,0,1,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0.0001086163,0,0,0,0,0,0,0,0,21699.97,0,80046
0,0,1,0,0,1,1,1,1,1,1,1,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0.0001059908,0,0,134.7942,0,0,0,0,0,21699.59,0,81892
1,0,1,0,0,0,1,0,1,1,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,130.4985,0,0,0,0,0,21699.6,0,83781
1,1,0,1,1,1,1,1,1,0,1,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,8.570018e-05,0,0,98.10602,0,0,0,0,0,21699.69,0,85499
1,1,0,0,0,0,0,1,1,0,0,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,8.910923e-05,0,0,0,0,0,0,0,0,21699.97,0,86403
1,0,1,1,0,0,0,0,0,1,0,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,21699.97,0,86541
1,1,1,1,1,1,0,1,0,1,1,1,1,0,1,0,1,0,0,0,0,0,0,0,0,0,8.349403e-05,0,0,95.82149,0,0,0,0,0,21699.7,0,89791
0,1,1,1,1,0,0,0,1,0,0,1,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,21699.97,0,92446
1,0,0,1,0,0,1,0,0,0,1,1,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,114.6482,0,0,0,0,0,21699.64,0,93257
0,1,1,0,0,1,0,0,0,1,0,0,1,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,21699.97,0,94758
0,1,0,1,1,0,0,0,1,0,0,1,1,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,21699.97,0,96538
0,1,1,1,0,0,1,1,1,1,0,1,1,1,1,0,1,0,0,0,0,0,0,0,0,0,0.0001024782,0,0,0,0,0,0,0,0,21699.97,0,97230
0,0,1,0,0,0,1,1,0,0,1,1,1,1,1,0,1,0,0,0,0,0,0,0,0,0,0.000103983,0,0,133.1613,0,0,0,0,0,21699.59,0,97476
0,0,0,1,0,1,0,1,1,1,1,1,1,1,1,0,1,0,0,0,0,0,0,0,0,0,0.0001054321,0,0,135.5344,0,0,0,0,0,21699.58,0,98216
1,0,1,1,0,0,0,1,0,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,9.390368e-05,0,0,0,0,0,0,0,0,21699.97,0,98957
1,1,0,0,1,1,1,1,0,0,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,8.946032e-05,0,0,99.56174,0,0,0,0,0,21699.69,0,99571
0,0,1,1,0,0,1,1,0,1,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0.0001178661,0,0,181.5322,0,0,0,0,0,21699.45,0,100044
0,0,0,0,0,1,0,0,1,1,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,21699.97,0,101152
0,0,1,1,1,1,0,0,0,0,0,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,21699.97,0,102460
0,1,1,1,0,0,1,0,0,0,0,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,21699.97,0,102478
1,0,0,1,1,0,0,0,0,1,0,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,21699.97,0,102937
1,1,1,0,0,1,1,1,1,0,1,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,8.685238e-05,0,0,111.3644,0,0,0,0,0,21699.65,0,103911
1,1,0,0,1,0,1,0,0,0,0,1,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,21699.97,0,104531
1,0,1,0,0,0,1,1,1,0,0,1,1,0,0,1,1,0,0,0,0,0,0,0,0,0,9.073544e-05,0,0,0,0,0,0,0,0,21699.97,0,104901
0,0,1,1,1,0,1,0,0,1,0,1,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,21699.97,0,105052
1,1,0,0,1,1,0,1,1,1,0,1,1,0,0,1,1,0,0,0,0,0,0,0,0,0,8.906925e-05,0,0,0,0,0,0,0,0,21699.97,0,105395
1,0,1,0,0,1,0,0,1,1,0,0,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,21699.97,0,107301
0,1,0,1,1,1,0,1,1,0,1,0,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0.0001048095,0,0,97.06347,0,0,0,0,0,21699.7,0,107962
1,1,1,0,1,0,1,1,1,1,0,1,0,1,0,1,1,0,0,0,0,0,0,0,0,0,8.637881e-05,0,0,0,0,0,0,0,0,21699.97,0,109527
0,0,0,0,0,0,0,1,1,0,1,1,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0.0001138518,0,0,137.7995,0,0,0,0,0,21699.58,0,109952
0,0,1,0,0,0,1,1,1,0,0,0,1,1,0,1,1,0,0,0,0,0,0,0,0,0,0.000111514,0,0,0,0,0,0,0,0,21699.97,0,111044
0,0,0,1,0,0,0,0,0,1,1,0,1,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,136.3039,0,0,0,0,0,21699.58,0,112136
1,1,1,1,0,0,1,1,1,1,0,1,1,1,0,1,1,0,0,0,0,0,0,0,0,0,8.694632e-05,0,0,0,0,0,0,0,0,21699.97,0,113615
1,0,1,1,0,1,1,1,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,9.059765e-05,0,0,0,0,0,0,0,0,21699.97,0,114925
0,0,0,0,0,1,0,1,1,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0.0001201159,0,0,0,0,0,0,0,0,21699.97,0,115104
1,1,1,1,0,0,0,1,1,1,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,8.835686e-05,0,0,0,0,0,0,0,0,21699.97,0,115599
0,1,1,0,0,1,1,1,1,1,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0.0001094436,0,0,0,0,0,0,0,0,21699.97,0,115686
1,1,0,1,0,1,0,0,0,0,1,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,113.7854,0,0,0,0,0,21699.65,0,115755
0,0,1,0,1,0,0,0,0,1,1,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,106.2914,0,0,0,0,0,21699.67,0,116244
1,0,0,1,1,0,0,0,1,1,0,1,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,21699.97,0,117529
1,1,0,0,1,0,1,0,0,0,1,1,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,97.84436,0,0,0,0,0,21699.69,0,117843
1,1,1,0,0,0,0,0,1,0,1,0,1,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,109.6814,0,0,0,0,0,21699.66,0,120071
0,1,1,1,0,1,1,1,0,1,1,0,1,0,1,1,1,0,0,0,0,0,0,0,0,0,0.0001045281,0,0,126.4914,0,0,0,0,0,21699.61,0,120558
0,0,1,1,0,1,1,1,0,0,1,1,1,0,1,1,1,0,0,0,0,0,0,0,0,0,0.0001087381,0,0,170.8537,0,0,0,0,0,21699.48,0,122092
0,0,0,0,0,1,1,0,1,0,1,1,1,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,176.5413,0,0,0,0,0,21699.47,0,122208
0,1,0,1,0,1,1,0,1,0,0,0,0,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,21699.97,0,123242
1,0,0,0,1,0,1,1,0,1,0,0,0,1,1,1,1,0,0,0,0,0,0,0,0,0,8.843777e-05,0,0,0,0,0,0,0,0,21699.97,0,123601
1,1,0,0,1,0,1,1,1,1,0,0,0,1,1,1,1,0,0,0,0,0,0,0,0,0,8.612689e-05,0,0,0,0,0,0,0,0,21699.97,0,123859
1,0,0,1,0,0,1,1,0,0,1,0,0,1,1,1,1,0,0,0,0,0,0,0,0,0,8.809022e-05,0,0,114.787,0,0,0,0,0,21699.64,0,124105
0,0,1,1,1,0,1,1,0,1,1,1,0,1,1,1,1,0,0,0,0,0,0,0,0,0,0.0001018847,0,0,98.21032,0,0,0,0,0,21699.69,0,126684
1,1,0,1,0,1,1,1,1,1,1,1,0,1,1,1,1,0,0,0,0,0,0,0,0,0,8.547619e-05,0,0,105.4389,0,0,0,0,0,21699.67,0,126955
1,1,0,0,1,0,0,1,0,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,8.358829e-05,0,0,91.8128,0,0,0,0,0,21699.71,0,130707
0,1,1,0,1,0,1,1,0,0,0,0,0,0,0,0,0,1,0,0,4056.573,0,0,1218.643,0,0,0.01647676,0,0,0,0,0,0,0,0,0,0,131286
1,0,0,1,0,0,1,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0.0001786387,0,0,0,0,0,0,0,0,0,8341.718,131529
1,0,0,0,0,1,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0.0001162263,0,0,34893.15,0,0,0,0,0,0,1211.745,132257
0,1,1,1,1,0,1,1,0,1,0,1,0,0,0,0,0,1,0,0,4056.573,0,0,1218.643,0,0,0.01639845,0,0,0,0,0,0,0,0,0,0,133854
0,1,1,1,0,1,0,1,1,0,0,0,1,0,0,0,0,1,0,0,4146.172,0,0,0,0,0,0.0368193,0,0,0,0,0,0,0,0,0,0,135598
1,1,1,0,0,1,0,0,1,1,0,0,1,0,0,0,0,1,0,0,4146.18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,135975
0,0,1,1,1,0,1,0,0,0,1,0,1,0,0,0,0,1,0,0,0,0,0,4311.621,0,0,0,0,0,29265.51,0,0,0,0,0,0,2.413981e-08,136284
1,0,1,0,1,1,1,1,0,1,1,0,1,0,0,0,0,1,0,0,0,0,0,4311.571,0,0,0.0001531448,0,0,29266,0,0,0,0,0,0,1.947396e-08,136949
1,0,1,1,0,0,1,0,0,0,0,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8341.718,137293
1,0,1,0,1,0,1,0,0,0,1,1,1,0,0,0,0,1,0,0,0,0,0,4311.577,0,0,0,0,0,29265.95,0,0,0,0,0,0,1.997537e-08,138325
0,0,1,1,0,0,0,1,0,1,1,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0.0001366096,0,0,34893.18,0,0,0,0,0,0,1211.738,138892
1,1,0,0,1,0,0,1,0,1,1,1,1,0,0,0,0,1,0,0,7.837461e-10,0,0,4321.324,0,0,0.000664305,0,0,29169.8,0,0,0,0,0,0,0,138899
0,1,0,1,0,1,0,1,0,0,0,1,0,1,0,0,0,1,0,0,4146.172,0,0,0,0,0,0.03847395,0,0,0,0,0,0,0,0,0,0,141482
1,0,0,1,1,0,1,1,1,0,0,1,0,1,0,0,0,1,0,0,0,0,0,5490.895,0,0,0.0003019329,0,0,0,0,0,0,0,0,0,4574.097,141785
0,0,1,0,1,1,0,0,0,0,1,1,0,1,0,0,0,1,0,0,0,0,0,4311.635,0,0,0,0,0,29265.37,0,0,0,0,0,0,2.556628e-08,142388
1,0,0,0,1,0,0,0,0,1,1,0,1,1,0,0,0,1,0,0,0,0,0,4311.586,0,0,0,0,0,29265.86,0,0,0,0,0,0,2.075704e-08,144913
0,0,0,0,0,0,1,1,0,1,0,1,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0.0002151632,0,0,0,0,0,0,0,0,0,8341.718,146112
1,0,0,1,0,0,1,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8341.718,147529
1,1,0,1,0,0,1,0,0,0,0,0,0,0,1,0,0,1,0,0,4146.18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,147531
0,1,0,0,1,0,0,1,0,0,1,0,0,0,1,0,0,1,0,0,6.702244e-10,0,0,4321.12,0,0,0.0007829035,0,0,29171.82,0,0,0,0,0,0,0,148626
0,0,1,1,1,1,1,0,1,0,0,1,0,0,1,0,0,1,0,0,0,0,0,5490.895,0,0,0,0,0,0,0,0,0,0,0,0,4574.096,149884
0,0,0,0,1,1,1,1,0,1,0,1,1,0,1,0,0,1,0,0,0,0,0,5490.895,0,0,0.0003657791,0,0,0,0,0,0,0,0,0,4574.097,154352
0,0,0,0,0,0,1,0,1,1,0,1,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8341.718,154432
